@RELATION capsense
@ATTRIBUTE mean_accel_1 NUMERIC
@ATTRIBUTE mean_accel_2 NUMERIC
@ATTRIBUTE mean_accel_3 NUMERIC
@ATTRIBUTE var_accel_1 NUMERIC
@ATTRIBUTE var_accel_2 NUMERIC
@ATTRIBUTE var_accel_3 NUMERIC
@ATTRIBUTE class {class0,class1,class2,class3,class4,class5,class6,class7,class8,class9}

@DATA
101.080000,127.960000,141.000000,0.273600,0.038400,0.240000,class0
101.030000,127.920000,141.010000,0.329100,0.073600,0.549900,class0
100.930000,127.680000,140.970000,0.245100,0.217600,0.649100,class0
101.000000,127.630000,141.140000,0.200000,0.433100,0.560400,class0
101.730000,127.000000,142.170000,1.297100,11.180000,1.281100,class0
105.500000,124.190000,144.770000,22.010000,23.153900,10.977100,class0
112.400000,123.170000,149.470000,25.680000,11.021100,16.849100,class0
116.000000,123.580000,152.170000,0.840000,1.983600,1.321100,class0
112.770000,124.800000,148.500000,33.417100,28.680000,49.970000,class0
109.750000,126.900000,145.400000,48.707500,29.230000,77.860000,class0
112.020000,126.680000,148.680000,30.839600,4.477600,49.417600,class0
115.120000,125.750000,151.840000,1.625600,0.387500,0.914400,class0
114.230000,123.840000,150.940000,5.977100,9.914400,4.816400,class0
112.220000,121.760000,149.760000,3.231600,8.362400,4.122400,class0
111.750000,121.710000,149.140000,3.567500,8.565900,5.920400,class0
109.330000,124.500000,147.560000,11.001100,13.650000,12.746400,class0
107.740000,127.440000,147.150000,6.672400,2.046400,11.547500,class0
107.120000,127.620000,147.140000,6.245600,1.775600,6.500400,class0
106.740000,125.340000,146.780000,3.632400,5.204400,2.951600,class0
110.010000,122.050000,148.180000,8.129900,5.027500,3.547600,class0
113.050000,119.290000,149.390000,1.547500,4.765900,1.737900,class0
113.850000,118.600000,149.790000,1.087500,4.300000,1.825900,class0
113.830000,116.410000,149.030000,0.921100,11.121900,2.849100,class0
114.030000,108.400000,142.890000,1.889100,32.100000,32.097900,class0
123.760000,100.870000,134.960000,135.302400,10.133100,22.398400,class0
135.910000,103.910000,137.080000,115.721900,35.961900,50.153600,class0
126.460000,114.410000,146.620000,212.968400,36.221900,39.675600,class0
114.240000,119.650000,150.920000,1.482400,3.847500,2.293600,class0
114.940000,121.080000,151.290000,0.776400,3.853600,0.785900,class0
120.650000,113.590000,147.250000,170.167500,131.641900,40.927500,class0
135.610000,109.210000,141.750000,251.897900,97.285900,30.027500,class0
145.310000,118.700000,144.040000,17.633900,60.050000,21.978400,class0
133.740000,114.600000,144.050000,248.252400,106.460000,20.427500,class0
120.010000,105.050000,142.830000,131.049900,17.807500,23.941100,class0
121.920000,104.300000,141.860000,68.913600,53.890000,74.740400,class0
134.740000,104.810000,138.530000,149.552400,69.813900,67.729100,class0
141.640000,105.090000,139.440000,85.110400,33.341900,30.586400,class0
133.120000,102.750000,139.840000,121.505600,19.107500,18.534400,class0
133.550000,101.760000,136.770000,112.847500,4.502400,8.117100,class0
127.550000,105.880000,139.870000,206.247500,14.285600,30.453100,class0
114.530000,109.030000,145.020000,4.649100,2.749100,2.839600,class0
122.090000,107.180000,145.100000,71.741900,8.507600,4.590000,class0
124.020000,104.520000,143.510000,51.599600,5.769600,8.489900,class0
117.320000,104.690000,142.560000,8.657600,2.873900,3.366400,class0
115.600000,106.860000,144.130000,0.240000,1.400400,0.913100,class0
115.230000,107.720000,144.690000,0.377100,1.041600,0.753900,class0
