@RELATION capsense
@ATTRIBUTE mean_accel_1 NUMERIC
@ATTRIBUTE mean_accel_2 NUMERIC
@ATTRIBUTE mean_accel_3 NUMERIC
@ATTRIBUTE var_accel_1 NUMERIC
@ATTRIBUTE var_accel_2 NUMERIC
@ATTRIBUTE var_accel_3 NUMERIC
@ATTRIBUTE class {class0,class1,class2,class3,class4,class5,class6,class7,class8,class9}

@DATA
115.340000,129.320000,94.340000,1.144400,0.377600,3.104400,class0
115.950000,129.190000,93.940000,1.067500,0.333900,2.156400,class0
116.940000,128.960000,93.630000,1.056400,0.258400,0.713100,class0
117.110000,128.650000,93.310000,1.717900,0.467500,1.513900,class0
116.480000,128.380000,93.150000,1.309600,0.415600,1.407500,class0
116.270000,128.270000,93.330000,0.497100,0.197100,0.361100,class0
116.500000,127.870000,93.410000,0.330000,0.333100,0.241900,class0
116.680000,127.580000,93.440000,0.497600,0.303600,0.246400,class0
117.110000,127.050000,93.350000,0.557900,5.427500,0.387500,class0
117.690000,127.230000,93.190000,0.233900,5.497100,0.313900,class0
118.000000,128.000000,93.000000,0.000000,0.000000,0.000000,class0
118.270000,128.000000,93.000000,0.197100,0.000000,0.000000,class0
118.630000,128.000000,93.000000,0.233100,0.000000,0.000000,class0
118.630000,128.000000,93.000000,0.233100,0.000000,0.000000,class0
118.270000,128.000000,93.000000,0.197100,0.000000,0.000000,class0
118.000000,128.000000,93.000000,0.000000,0.000000,0.000000,class0
118.000000,128.000000,93.000000,0.000000,0.000000,0.000000,class0
118.950000,128.430000,92.280000,2.487500,0.505100,0.801600,class0
121.610000,128.940000,92.470000,5.097900,4.756400,1.989100,class0
119.070000,129.540000,95.670000,39.245100,30.448400,7.481100,class0
111.630000,141.730000,103.640000,36.593100,171.097100,42.230400,class0
112.290000,156.350000,113.450000,21.205900,34.887500,26.987500,class0
115.720000,159.490000,117.710000,1.661600,29.309900,6.205900,class0
116.750000,159.780000,119.730000,3.827500,25.451600,10.797100,class0
117.330000,157.750000,119.300000,2.861100,19.827500,8.130000,class0
116.410000,157.400000,119.700000,1.901900,9.140000,10.730000,class0
116.630000,159.260000,120.620000,0.853100,7.592400,7.715600,class0
116.310000,158.240000,118.110000,1.333900,12.082400,2.457900,class0
116.070000,157.690000,119.030000,3.105100,9.213900,3.669100,class0
116.530000,158.220000,119.180000,2.729100,5.611600,3.547600,class0
115.680000,157.820000,116.910000,2.717600,7.767600,2.001900,class0
114.110000,156.680000,117.870000,3.337900,7.737600,4.053100,class0
112.260000,155.500000,117.400000,4.572400,14.010000,5.720000,class0
110.530000,153.720000,114.330000,2.329100,14.581600,1.601100,class0
112.160000,155.380000,116.350000,6.434400,12.675600,9.847500,class0
115.360000,157.730000,119.030000,2.790400,8.257100,1.429100,class0
117.700000,157.930000,119.730000,2.870000,14.025100,1.417100,class0
