@RELATION capsense
@ATTRIBUTE mean_accel_1 NUMERIC
@ATTRIBUTE mean_accel_2 NUMERIC
@ATTRIBUTE mean_accel_3 NUMERIC
@ATTRIBUTE var_accel_1 NUMERIC
@ATTRIBUTE var_accel_2 NUMERIC
@ATTRIBUTE var_accel_3 NUMERIC
@ATTRIBUTE class {class1,class2,class3,class4,class5,class6,class7,class8,class9}

@DATA
155.440000,135.000000,139.960000,0.246400,0.000000,0.038400,class0
155.540000,135.000000,139.980000,0.248400,0.000000,0.019600,class0
155.320000,135.000000,140.000000,0.217600,0.000000,0.000000,class0
154.950000,135.070000,139.540000,0.607500,0.285100,0.588400,class0
154.770000,135.190000,139.440000,1.157100,11.753900,1.126400,class0
153.860000,140.870000,138.010000,75.080400,88.673100,28.669900,class0
137.570000,151.870000,133.590000,317.725100,76.853100,40.581900,class0
120.630000,150.870000,128.580000,11.853100,55.793100,36.623600,class0
130.200000,128.430000,113.360000,150.120000,333.805100,209.430400,class0
140.620000,107.300000,103.560000,24.175600,95.730000,52.286400,class0
140.780000,99.420000,111.430000,4.691600,25.803600,45.505100,class0
140.580000,95.990000,116.510000,7.543600,29.629900,3.329900,class0
139.130000,96.680000,117.550000,6.073100,27.117600,3.587500,class0
139.140000,96.210000,118.430000,4.740400,24.525900,3.845100,class0
141.370000,95.080000,118.370000,7.593100,59.693600,5.393100,class0
145.050000,94.760000,120.640000,8.887500,65.442400,16.890400,class0
146.750000,95.810000,125.310000,16.827500,120.773900,41.473900,class0
146.440000,97.480000,126.620000,24.426400,103.749600,49.655600,class0
150.770000,101.520000,128.020000,51.897100,37.569600,65.459600,class0
146.740000,102.580000,130.680000,95.412400,30.163600,50.617600,class0
135.430000,96.810000,130.970000,43.565100,63.133900,100.829100,class0
132.680000,95.480000,131.340000,33.097600,51.709600,91.124400,class0
134.670000,97.090000,131.830000,5.741100,1.301900,1.621100,class0
135.960000,97.410000,131.620000,3.438400,0.321900,0.595600,class0
135.940000,97.530000,131.900000,1.656400,0.249100,0.650000,class0
136.390000,97.850000,132.390000,0.237900,0.127500,0.257900,class0
136.830000,97.940000,132.640000,0.481100,0.056400,0.230400,class0
137.580000,98.020000,132.860000,0.243600,0.019600,0.120400,class0
137.710000,98.080000,132.740000,0.285900,0.073600,0.212400,class0
139.210000,98.850000,132.470000,3.205900,0.707500,0.289100,class0
140.560000,99.510000,132.590000,2.486400,0.289900,0.661900,class0
139.940000,98.790000,133.710000,8.916400,15.185900,9.905900,class0
138.430000,99.150000,133.760000,13.485100,20.247500,17.722400,class0
139.560000,100.320000,133.490000,17.526400,7.157600,9.729900,class0
144.280000,102.040000,133.600000,14.861600,8.878400,3.860000,class0
144.760000,103.670000,136.190000,11.462400,15.101100,22.013900,class0
145.670000,114.470000,144.670000,38.241100,143.689100,81.841100,class0
150.290000,129.860000,131.360000,35.365900,56.880400,420.110400,class0
144.890000,138.030000,103.680000,70.317900,31.909100,102.497600,class0
136.940000,143.410000,96.710000,17.636400,13.141900,9.365900,class0
141.250000,142.200000,117.220000,55.267500,26.600000,541.771600,class0
142.530000,139.250000,143.480000,38.729100,11.347500,245.509600,class0
138.580000,138.560000,151.240000,5.783600,9.426400,3.942400,class0
138.180000,138.830000,151.380000,5.927600,9.381100,3.655600,class0
137.520000,137.820000,152.270000,1.869600,7.587600,1.757100,class0
136.990000,135.220000,153.170000,1.809900,4.151600,1.701100,class0
135.220000,133.540000,152.420000,3.611600,3.948400,1.783600,class0
135.860000,132.790000,153.100000,7.300400,1.945900,3.130000,class0
139.460000,133.370000,153.440000,3.888400,1.553100,2.206400,class0
140.330000,133.530000,152.210000,0.361100,0.249100,0.225900,class0
139.910000,133.330000,152.360000,0.081900,0.221100,0.230400,class0
139.750000,133.150000,152.500000,0.187500,0.127500,0.250000,class0
139.630000,133.960000,152.150000,0.793100,2.598400,0.827500,class0
140.030000,134.510000,151.950000,1.309100,2.229900,0.967500,class0
140.310000,134.190000,151.850000,0.833900,0.433900,0.507500,class0
140.730000,134.720000,151.460000,0.757100,1.021600,0.508400,class0
140.940000,135.960000,151.060000,0.676400,1.118400,0.156400,class0
139.420000,135.750000,151.600000,2.563600,1.267500,0.620000,class0
138.050000,134.470000,152.490000,0.967500,0.529100,0.429900,class0
139.550000,134.000000,152.160000,3.947500,0.020000,0.814400,class0
143.280000,133.760000,150.810000,9.021600,0.322400,1.253900,class0
147.990000,132.120000,147.920000,10.349900,2.385600,5.613600,class0
148.680000,129.600000,147.030000,6.217600,4.420000,5.269100,class0
146.190000,128.120000,149.020000,4.153900,4.565600,5.559600,class0
145.200000,128.050000,146.240000,121.740000,7.807500,20.002400,class0
146.960000,123.480000,142.120000,170.418400,87.269600,13.805600,class0
148.160000,117.890000,143.600000,58.074400,88.257900,16.460000,class0
147.670000,138.840000,148.530000,34.101100,511.134400,31.709100,class0
144.980000,152.830000,140.790000,38.059600,97.721100,141.045900,class0
143.010000,152.180000,127.530000,14.629900,98.167600,65.369100,class0
142.940000,157.970000,125.350000,19.916400,57.989100,81.407500,class0
145.490000,155.350000,128.380000,69.889900,80.227500,41.655600,class0
145.720000,157.390000,125.740000,60.301600,89.297900,34.772400,class0
141.640000,163.580000,123.300000,12.830400,91.443600,25.890000,class0
137.920000,164.080000,123.520000,24.573600,68.173600,25.429600,class0
137.360000,163.990000,125.630000,13.570400,56.989900,34.313100,class0
136.710000,162.720000,126.080000,18.505900,89.881600,24.433600,class0
137.400000,161.820000,124.020000,23.900000,81.607600,5.759600,class0
134.320000,163.490000,125.210000,61.697600,61.329900,2.765900,class0
131.460000,161.250000,127.200000,31.348400,41.607500,25.920000,class0
139.570000,160.960000,127.040000,31.065100,28.218400,44.958400,class0
149.280000,156.260000,125.970000,126.181600,59.352400,58.069100,class0
145.440000,146.250000,138.910000,177.346400,32.647500,160.101900,class0
138.920000,145.030000,146.800000,23.713600,11.689100,18.820000,class0
144.200000,147.490000,142.560000,17.020000,2.869900,6.306400,class0
145.260000,147.630000,142.620000,4.352400,1.973100,2.935600,class0
145.220000,147.750000,142.640000,3.211600,1.107500,2.230400,class0
147.470000,146.590000,140.920000,2.469100,0.561900,0.593600,class0
148.470000,147.090000,141.480000,0.609100,3.601900,3.489600,class0
146.140000,145.260000,145.010000,50.200400,81.272400,21.649900,class0
136.720000,136.540000,150.350000,99.041600,106.108400,25.587500,class0
127.350000,129.390000,154.190000,6.967500,6.317900,5.293900,class0
124.640000,126.810000,154.190000,2.890400,4.633900,1.593900,class0
133.210000,132.780000,147.730000,289.905900,85.591600,36.337100,class0
157.900000,149.780000,134.400000,2615.750000,410.851600,248.600000,class0
149.930000,162.060000,127.320000,5043.625100,825.796400,655.097600,class0
125.560000,165.020000,130.140000,4265.966400,986.879600,944.760400,class0
137.330000,165.880000,126.770000,3795.221100,1151.705600,574.057100,class0
145.420000,162.770000,123.520000,1715.843600,718.017100,82.989600,class0
139.750000,159.100000,126.350000,7.687500,3.470000,1.527500,class0
142.620000,158.890000,128.260000,22.855600,1.197900,10.172400,class0
142.000000,153.280000,135.950000,29.740000,41.541600,51.267500,class0
137.810000,147.590000,143.690000,28.253900,18.061900,5.433900,class0
142.970000,144.480000,144.910000,47.409100,18.569600,5.561900,class0
145.270000,142.700000,145.660000,7.477100,3.110000,4.684400,class0
146.240000,144.000000,143.480000,15.962400,0.600000,14.609600,class0
151.850000,143.600000,138.170000,9.267500,0.460000,10.141100,class0
150.060000,143.760000,138.850000,32.616400,2.102400,14.567500,class0
143.120000,144.130000,145.260000,26.925600,5.873100,18.552400,class0
138.210000,138.080000,150.560000,16.625900,114.233600,9.526400,class0
133.080000,135.520000,152.680000,26.233600,109.589600,8.597600,class0
136.070000,143.320000,148.640000,56.345100,45.957600,27.970400,class0
137.200000,150.440000,144.140000,42.300000,9.046400,6.860400,class0
129.560000,152.650000,144.560000,12.406400,1.867500,1.906400,class0
131.260000,149.720000,146.680000,21.452400,13.621600,4.977600,class0
133.140000,151.640000,143.550000,21.400400,49.630400,26.587500,class0
133.500000,159.500000,132.760000,36.570000,45.030000,65.262400,class0
135.970000,162.380000,124.000000,16.149100,26.015600,31.080000,class0
136.260000,162.040000,125.050000,4.792400,28.978400,15.867500,class0
136.980000,164.500000,127.060000,5.019600,34.690000,10.456400,class0
136.280000,164.410000,125.250000,6.181600,37.881900,12.987500,class0
137.350000,162.630000,126.490000,8.087500,31.213100,14.729900,class0
136.840000,161.710000,124.800000,8.174400,30.465900,15.420000,class0
136.460000,160.950000,126.200000,6.068400,25.667500,23.180000,class0
137.840000,163.920000,124.920000,3.934400,26.433600,39.773600,class0
135.650000,164.420000,123.750000,5.547500,20.663600,40.067500,class0
135.580000,164.590000,127.840000,4.683600,53.461900,24.534400,class0
135.860000,166.640000,124.310000,25.980400,88.390400,35.093900,class0
141.320000,165.700000,124.240000,72.697600,61.450000,99.462400,class0
137.100000,162.970000,125.320000,137.870000,30.329100,104.157600,class0
132.740000,156.670000,132.480000,103.452400,103.541100,137.209600,class0
138.200000,140.790000,145.560000,84.480000,333.985900,68.086400,class0
139.350000,130.740000,151.860000,66.227500,148.632400,34.660400,class0
141.110000,131.200000,152.950000,25.617900,5.600000,8.947500,class0
140.820000,130.660000,151.770000,0.947600,0.384400,0.377100,class0
140.590000,130.450000,151.890000,1.621900,0.667500,0.437900,class0
136.300000,137.900000,148.870000,928.930000,159.030000,547.253100,class0
129.410000,165.110000,126.300000,3376.521900,558.537900,1441.030000,class0
138.890000,162.870000,125.280000,3454.797900,793.673100,1097.521600,class0
146.730000,134.620000,148.220000,868.537100,288.515600,255.751600,class0
143.060000,128.530000,151.890000,3.376400,4.289100,3.637900,class0
144.070000,129.000000,151.000000,0.065100,0.000000,0.000000,class0
144.570000,129.000000,151.000000,0.245100,0.000000,0.000000,class0
145.000000,129.000000,151.000000,0.000000,0.000000,0.000000,class0
145.000000,129.000000,151.000000,0.000000,0.000000,0.000000,class0
145.000000,129.000000,151.000000,0.000000,0.000000,0.000000,class0
145.000000,129.000000,150.890000,0.000000,0.000000,0.097900,class0
144.880000,129.000000,150.710000,0.105600,0.000000,0.205900,class0
144.880000,129.000000,150.600000,0.105600,0.000000,0.240000,class0
145.000000,129.000000,150.460000,0.000000,0.000000,0.248400,class0
144.660000,129.000000,150.270000,0.644400,0.000000,0.197100,class0
144.620000,129.000000,150.240000,0.835600,0.000000,0.182400,class0
145.030000,129.000000,150.150000,0.289100,0.000000,0.127500,class0
145.220000,129.000000,150.040000,0.171600,0.000000,0.038400,class0
145.320000,129.000000,150.040000,0.217600,0.000000,0.038400,class0
145.350000,129.000000,150.000000,0.227500,0.000000,0.000000,class0
145.680000,129.000000,150.000000,0.217600,0.000000,0.000000,class0
146.000000,129.000000,150.000000,0.000000,0.000000,0.000000,class0
146.000000,129.000000,150.000000,0.000000,0.000000,0.000000,class0
146.000000,129.000000,150.000000,0.000000,0.000000,0.000000,class0
145.910000,129.000000,150.000000,0.081900,0.000000,0.000000,class0
145.150000,129.000000,150.110000,0.647500,0.000000,0.097900,class0
144.810000,129.000000,150.180000,0.293900,0.000000,0.147600,class0
145.090000,129.000000,150.080000,0.081900,0.000000,0.073600,class0
145.220000,129.000000,150.010000,0.171600,0.000000,0.009900,class0
145.430000,129.000000,150.000000,0.245100,0.000000,0.000000,class0
145.250000,129.000000,150.060000,0.187500,0.000000,0.056400,class0
145.030000,129.000000,150.060000,0.029100,0.000000,0.056400,class0
145.010000,129.000000,150.070000,0.009900,0.000000,0.065100,class0
144.860000,129.090000,150.080000,0.120400,0.081900,0.073600,class0
144.390000,129.780000,150.380000,0.237900,0.571600,0.235600,class0
144.800000,129.690000,150.370000,0.700000,0.613900,0.233100,class0
145.350000,129.000000,150.020000,0.227500,0.000000,0.019600,class0
145.440000,129.000000,150.020000,0.246400,0.000000,0.019600,class0
149.290000,128.340000,147.480000,32.445900,5.544400,26.809600,class0
152.210000,123.330000,146.840000,169.905900,116.421100,215.354400,class0
129.070000,124.310000,142.580000,699.365100,143.513900,268.023600,class0
100.020000,132.770000,128.460000,122.059600,38.957100,126.068400,class0
95.400000,136.760000,118.330000,39.840000,7.302400,28.201100,class0
96.760000,137.900000,116.460000,8.222400,0.750000,1.768400,class0
96.800000,138.600000,119.090000,7.880000,0.920000,7.701900,class0
96.710000,138.380000,120.170000,0.845900,0.695600,2.341100,class0
96.290000,137.870000,118.330000,0.225900,0.113100,0.541100,class0
96.870000,137.530000,116.540000,0.293100,0.269100,1.768400,class0
97.070000,136.560000,115.160000,0.105100,0.346400,0.174400,class0
96.980000,136.280000,115.000000,0.039600,0.221600,0.000000,class0
96.990000,136.170000,115.000000,0.009900,0.301100,0.000000,class0
96.970000,135.870000,115.130000,0.029100,0.173100,0.113100,class0
96.960000,135.990000,115.310000,0.038400,0.149900,0.213900,class0
96.900000,136.270000,115.420000,0.090000,0.197100,0.243600,class0
96.910000,136.230000,115.710000,0.081900,0.177100,0.205900,class0
96.990000,135.860000,115.970000,0.009900,0.120400,0.029100,class0
96.820000,135.600000,116.000000,0.147600,0.240000,0.000000,class0
96.630000,135.450000,116.000000,0.233100,0.247500,0.000000,class0
96.470000,135.270000,116.000000,0.249100,0.197100,0.000000,class0
96.170000,135.070000,116.000000,0.141100,0.065100,0.000000,class0
96.000000,135.080000,116.000000,0.000000,0.073600,0.000000,class0
96.000000,135.070000,116.000000,0.000000,0.065100,0.000000,class0
96.000000,135.000000,116.000000,0.000000,0.000000,0.000000,class0
96.120000,135.240000,116.000000,0.105600,0.182400,0.000000,class0
96.300000,135.330000,116.000000,0.210000,0.221100,0.000000,class0
96.270000,135.430000,116.000000,0.197100,0.245100,0.000000,class0
94.050000,135.350000,119.130000,9.367500,2.707500,21.473100,class0
101.750000,129.430000,132.720000,121.507500,40.825100,155.581600,class0
107.170000,123.830000,143.390000,39.881100,7.161100,34.877900,class0
102.610000,123.870000,142.620000,0.617900,0.493100,1.415600,class0
99.740000,126.240000,136.270000,20.832400,7.462400,50.437100,class0
95.540000,129.450000,126.360000,17.028400,2.567500,42.510400,class0
94.890000,129.980000,122.140000,2.657900,4.039600,0.780400,class0
94.370000,128.700000,123.590000,3.193100,9.530000,1.861900,class0
93.770000,129.010000,125.360000,1.837100,7.289900,1.130400,class0
94.720000,128.270000,128.480000,0.421600,7.577100,7.549600,class0
98.080000,124.110000,133.280000,15.833600,10.097900,14.661600,class0
98.030000,126.200000,133.290000,19.729100,23.880000,16.265900,class0
95.640000,132.300000,128.310000,9.910400,9.410000,14.413900,class0
95.870000,134.550000,121.420000,7.113100,3.687500,23.503600,class0
95.510000,134.990000,117.660000,1.449900,0.469900,1.324400,class0
95.330000,134.480000,118.790000,0.301100,0.389600,0.845900,class0
96.930000,131.240000,120.340000,31.805100,53.722400,6.784400,class0
121.330000,125.180000,134.990000,560.701100,113.067600,341.969900,class0
144.100000,125.730000,149.960000,33.490000,71.497100,152.718400,class0
144.430000,129.310000,151.080000,1.805100,0.753900,4.593600,class0
144.690000,129.000000,151.000000,0.213900,0.000000,0.000000,class0
145.000000,129.000000,151.000000,0.000000,0.000000,0.000000,class0
145.000000,129.000000,151.000000,0.000000,0.000000,0.000000,class0
145.000000,129.000000,150.890000,0.000000,0.000000,0.097900,class0
144.740000,129.000000,150.780000,0.192400,0.000000,0.171600,class0
144.740000,129.000000,150.780000,0.192400,0.000000,0.171600,class0
145.000000,129.000000,150.890000,0.000000,0.000000,0.097900,class0
145.000000,129.000000,151.000000,0.000000,0.000000,0.000000,class0
145.000000,129.000000,151.000000,0.000000,0.000000,0.000000,class0
145.000000,129.000000,151.000000,0.000000,0.000000,0.000000,class0
145.000000,129.000000,151.000000,0.000000,0.000000,0.000000,class0
145.000000,129.000000,150.950000,0.000000,0.000000,0.047500,class0
145.000000,129.000000,150.890000,0.000000,0.000000,0.097900,class0
145.000000,129.000000,150.940000,0.000000,0.000000,0.056400,class0
145.000000,129.000000,151.000000,0.000000,0.000000,0.000000,class0
145.000000,129.000000,151.000000,0.000000,0.000000,0.000000,class0
145.000000,129.000000,151.000000,0.000000,0.000000,0.000000,class0
145.000000,129.000000,151.000000,0.000000,0.000000,0.000000,class0
145.000000,129.000000,151.000000,0.000000,0.000000,0.000000,class0
145.000000,129.000000,151.000000,0.000000,0.000000,0.000000,class0
