@RELATION capsense
@ATTRIBUTE mean_accel_1 NUMERIC
@ATTRIBUTE mean_accel_2 NUMERIC
@ATTRIBUTE mean_accel_3 NUMERIC
@ATTRIBUTE var_accel_1 NUMERIC
@ATTRIBUTE var_accel_2 NUMERIC
@ATTRIBUTE var_accel_3 NUMERIC
@ATTRIBUTE class {class1,class2,class3,class4,class5,class6,class7,class8,class9}

@DATA
154.960000,143.960000,112.200000,0.038400,0.038400,0.160000,class0
154.900000,143.980000,112.100000,0.090000,0.019600,0.090000,class0
154.080000,142.240000,110.100000,2.513600,10.022400,15.570000,class0
151.230000,136.460000,103.730000,8.177100,24.448400,32.817100,class0
149.160000,132.410000,98.620000,5.214400,6.621900,3.895600,class0
153.580000,133.620000,105.270000,23.123600,6.935600,58.657100,class0
158.490000,134.930000,112.780000,0.749900,0.145100,2.951600,class0
159.000000,135.000000,113.000000,0.000000,0.000000,0.000000,class0
159.000000,134.650000,113.000000,0.000000,0.227500,0.000000,class0
158.880000,134.090000,113.000000,0.105600,0.201900,0.000000,class0
158.960000,133.140000,112.790000,0.958400,1.980400,1.005900,class0
149.350000,119.350000,124.110000,185.247500,335.347500,192.917900,class0
138.510000,102.850000,129.820000,97.909900,203.567500,94.867600,class0
142.810000,96.760000,120.680000,100.153900,54.642400,65.857600,class0
143.160000,96.020000,120.160000,89.694400,37.019600,62.054400,class0
138.060000,97.160000,122.850000,2.416400,19.374400,1.547500,class0
139.090000,96.160000,123.140000,12.541900,5.574400,0.780400,class0
139.360000,96.500000,123.140000,14.130400,18.710000,1.280400,class0
138.210000,96.480000,122.860000,2.925900,18.789600,0.800400,class0
137.910000,96.040000,122.970000,0.281900,2.818400,0.229100,class0
137.850000,96.210000,122.860000,0.327500,3.545900,0.360400,class0
137.730000,96.190000,122.870000,0.297100,1.753900,0.373100,class0
137.730000,96.160000,122.990000,0.197100,0.714400,0.129900,class0
137.820000,96.170000,122.950000,0.147600,0.421100,0.047500,class0
137.740000,96.640000,123.000000,0.692400,3.050400,0.140000,class0
