@RELATION capsense
@ATTRIBUTE mean_accel_1 NUMERIC
@ATTRIBUTE mean_accel_2 NUMERIC
@ATTRIBUTE mean_accel_3 NUMERIC
@ATTRIBUTE var_accel_1 NUMERIC
@ATTRIBUTE var_accel_2 NUMERIC
@ATTRIBUTE var_accel_3 NUMERIC
@ATTRIBUTE mean_cap NUMERIC
@ATTRIBUTE var_cap NUMERIC
@ATTRIBUTE class {class0,class1,class2,class3,class4,class5,class6,class7,class8,class9}

@DATA
154.960000,143.960000,112.200000,0.038400,0.038400,0.160000,3302.900000,0.250000,class0
154.900000,143.980000,112.100000,0.090000,0.019600,0.090000,3302.770000,0.357100,class0
154.080000,142.240000,110.110000,2.513600,10.022400,15.337900,3302.380000,0.895600,class0
151.230000,136.460000,103.750000,8.177100,24.448400,32.587500,3301.570000,1.285100,class0
149.160000,132.410000,98.640000,5.214400,6.621900,3.890400,3313.650000,517.807500,class0
153.580000,133.710000,105.300000,23.123600,7.265900,58.790000,3361.850000,1626.327500,class0
158.490000,135.020000,112.800000,0.749900,0.239600,2.900000,3397.320000,3.277600,class0
159.000000,135.000000,113.000000,0.000000,0.000000,0.000000,3397.180000,0.147600,class0
159.000000,134.650000,113.000000,0.000000,0.227500,0.000000,3397.430000,0.345100,class0
158.880000,134.090000,113.010000,0.105600,0.201900,0.009900,3397.760000,0.382400,class0
158.960000,133.140000,112.800000,0.958400,1.980400,1.020000,3375.180000,2768.047600,class0
149.360000,119.370000,124.110000,184.650400,334.753100,192.917900,3288.550000,6412.407500,class0
138.520000,102.880000,129.820000,97.529600,203.465600,94.867600,3209.970000,341.629100,class0
142.810000,96.780000,120.680000,100.153900,54.551600,65.857600,3176.030000,625.069100,class0
143.170000,96.040000,120.170000,89.541100,36.938400,62.141100,3221.320000,7930.217600,class0
138.070000,97.180000,122.860000,2.365100,19.307600,1.580400,3346.710000,7259.405900,class0
139.090000,96.180000,123.140000,12.541900,5.607600,0.780400,3407.310000,8.333900,class0
139.360000,96.510000,123.150000,14.130400,18.709900,1.227500,3405.260000,12.412400,class0
138.210000,96.500000,122.870000,2.925900,18.790000,0.753100,3399.940000,34.616400,class0
137.910000,96.070000,122.970000,0.281900,2.785100,0.229100,3365.120000,2019.965600,class0
137.850000,96.220000,122.860000,0.327500,3.491600,0.360400,3293.220000,5029.731600,class0
137.730000,96.210000,122.870000,0.297100,1.765900,0.373100,3227.420000,3098.243600,class0
137.730000,96.240000,122.990000,0.197100,0.742400,0.129900,3209.340000,138.284400,class0
