@RELATION capsense
@ATTRIBUTE mean_accel_1 NUMERIC
@ATTRIBUTE mean_accel_2 NUMERIC
@ATTRIBUTE mean_accel_3 NUMERIC
@ATTRIBUTE var_accel_1 NUMERIC
@ATTRIBUTE var_accel_2 NUMERIC
@ATTRIBUTE var_accel_3 NUMERIC
@ATTRIBUTE mean_cap NUMERIC
@ATTRIBUTE var_cap NUMERIC
@ATTRIBUTE class {class0,class1,class2,class3,class4,class5,class6,class7,class8,class9}

@DATA
123.000000,125.160000,92.000000,0.000000,0.134400,0.000000,462.720000,1.201600,class0
123.000000,125.110000,92.000000,0.000000,0.097900,0.000000,461.330000,2.941100,class0
123.000000,125.350000,92.000000,0.000000,0.227500,0.000000,459.730000,0.577100,class0
122.890000,125.800000,92.000000,0.097900,0.160000,0.000000,459.170000,0.321100,class0
122.670000,125.980000,92.000000,0.221100,0.019600,0.000000,457.490000,2.089900,class0
122.280000,126.000000,92.000000,0.201600,0.000000,0.000000,455.380000,1.355600,class0
122.000000,125.750000,92.020000,0.000000,0.187500,0.019600,456.930000,6.085100,class0
122.020000,125.650000,92.020000,0.019600,0.227500,0.019600,459.150000,0.227500,class0
122.090000,125.770000,92.030000,0.081900,0.177100,0.029100,459.010000,0.329900,class0
122.240000,125.870000,92.100000,0.182400,0.113100,0.090000,459.250000,0.547500,class0
122.670000,125.880000,92.070000,0.221100,0.105600,0.065100,464.040000,37.638400,class0
123.000000,125.880000,92.000000,0.000000,0.105600,0.000000,471.780000,27.371600,class0
123.000000,126.000000,92.000000,0.000000,0.000000,0.000000,475.000000,0.000000,class0
123.000000,126.000000,92.000000,0.000000,0.000000,0.000000,474.400000,0.780000,class0
123.000000,125.610000,92.000000,0.000000,0.237900,0.000000,473.360000,0.650400,class0
123.000000,125.540000,92.000000,0.000000,0.248400,0.000000,472.960000,0.038400,class0
123.000000,125.930000,92.000000,0.000000,0.065100,0.000000,473.210000,0.165900,class0
123.000000,125.780000,92.000000,0.000000,0.171600,0.000000,473.350000,0.227500,class0
123.000000,125.490000,92.000000,0.000000,0.249900,0.000000,472.380000,5.015600,class0
123.000000,125.310000,91.980000,0.280000,0.273900,0.019600,447.920000,839.293600,class0
122.900000,125.160000,92.060000,0.710000,0.234400,0.116400,437.640000,690.970400,class0
122.610000,125.100000,91.990000,0.777900,0.290000,0.249900,457.540000,279.468400,class0
122.940000,124.880000,91.950000,1.956400,5.165600,0.187500,470.560000,132.386400,class0
125.030000,126.710000,91.840000,9.669100,16.025900,1.034400,494.660000,419.604400,class0
128.950000,141.350000,98.180000,11.787500,202.767500,107.407600,496.860000,353.820400,class0
128.720000,155.730000,115.750000,10.801600,40.417100,188.767500,475.840000,184.894400,class0
123.420000,157.540000,121.850000,11.883600,1.048400,31.927500,417.360000,3220.930400,class0
125.030000,157.720000,127.350000,29.369100,1.381600,125.467500,354.130000,792.293100,class0
127.380000,158.970000,136.510000,40.755600,4.169100,27.089900,373.990000,1289.409900,class0
124.650000,159.120000,131.650000,45.007500,4.205600,29.467500,389.860000,1583.740400,class0
113.270000,152.500000,120.660000,142.317100,59.350000,63.304400,409.560000,6955.726400,class0
105.250000,138.760000,107.530000,28.027500,95.582400,51.869100,437.610000,6794.737900,class0
109.540000,125.190000,99.400000,13.688400,51.233900,20.680000,444.540000,2505.028400,class0
110.630000,116.230000,98.730000,2.353100,46.177100,6.177100,453.720000,138.661600,class0
108.990000,107.970000,105.840000,4.629900,41.929100,58.614400,447.930000,127.585100,class0
107.690000,104.970000,121.520000,5.873900,10.809100,132.509600,454.480000,146.289600,class0
102.840000,112.190000,131.680000,29.014400,37.573900,1.957600,468.060000,236.476400,class0
97.990000,116.580000,130.040000,5.429900,3.583600,3.758400,445.160000,1007.814400,class0
97.960000,115.270000,128.250000,0.478400,0.297100,0.187500,398.500000,499.310000,class0
98.160000,115.070000,128.000000,0.354400,0.105100,0.000000,370.550000,436.707500,class0
98.290000,114.650000,127.810000,0.365900,0.407500,0.153900,400.090000,1976.801900,class0
98.270000,114.480000,126.940000,0.877100,0.669600,0.676400,413.390000,963.417900,class0
98.160000,114.300000,125.510000,1.594400,1.070000,0.949900,394.580000,161.783600,class0
98.280000,114.040000,120.670000,9.201600,0.898400,23.201100,390.430000,339.925100,class0
101.390000,110.600000,117.450000,18.117900,19.960000,10.087500,378.830000,214.341100,class0
101.830000,109.320000,116.310000,9.401100,13.117600,8.533900,359.700000,599.330000,class0
101.780000,111.070000,124.360000,10.071600,4.225100,116.750400,330.460000,386.308400,class0
106.420000,110.350000,138.260000,6.623600,3.247500,32.712400,311.050000,147.887500,class0
114.980000,113.310000,146.620000,47.799600,13.333900,28.795600,301.490000,88.609900,class0
122.530000,117.920000,152.450000,6.209100,6.573600,6.767500,291.070000,131.085100,class0
123.040000,117.590000,152.790000,0.758400,4.661900,1.745900,281.060000,28.236400,class0
123.720000,117.050000,152.480000,3.001600,4.127500,1.869600,282.010000,38.689900,class0
122.860000,123.000000,153.460000,13.900400,27.060000,1.868400,296.620000,254.195600,class0
119.530000,128.120000,153.470000,10.809100,5.545600,0.989100,312.700000,124.370000,class0
119.350000,132.760000,153.150000,3.767500,20.382400,1.087500,288.380000,827.435600,class0
123.240000,131.900000,153.650000,27.842400,38.030000,4.347500,259.750000,66.007500,class0
127.500000,120.190000,152.310000,25.490000,59.353900,7.153900,267.020000,195.659600,class0
124.160000,114.110000,151.210000,28.614400,3.437900,2.445900,239.230000,1479.797100,class0
117.790000,112.460000,149.480000,4.745900,7.508400,11.249600,188.210000,336.865900,class0
114.080000,107.990000,144.030000,6.993600,6.789900,13.009100,182.700000,145.090000,class0
106.810000,110.260000,137.770000,40.253900,28.892400,16.317100,208.790000,2248.165900,class0
100.020000,119.290000,125.810000,20.719600,35.205900,126.173900,326.330000,12526.301100,class0
101.220000,120.990000,110.880000,16.951600,29.789900,91.125600,406.870000,1326.773100,class0
103.420000,117.260000,105.420000,4.083600,19.732400,8.023600,397.510000,662.189900,class0
104.020000,115.060000,105.270000,1.939600,8.956400,6.677100,363.190000,2933.053900,class0
102.720000,115.730000,105.630000,8.681600,9.037100,9.393100,271.360000,3100.730400,class0
100.440000,117.460000,118.730000,3.686400,3.348400,170.837100,256.490000,2011.269900,class0
101.820000,118.300000,136.100000,4.607600,7.730000,61.390000,315.720000,2755.801600,class0
110.210000,119.020000,146.100000,71.105900,14.199600,21.850000,329.450000,1301.727500,class0
125.720000,114.790000,149.610000,106.421600,30.985900,4.377900,322.790000,519.025900,class0
139.440000,115.100000,148.360000,52.226400,49.270000,5.530400,328.800000,1205.240000,class0
146.330000,124.540000,148.230000,3.681100,55.508400,2.837100,285.650000,2710.147500,class0
149.100000,130.190000,147.440000,3.370000,1.673900,2.046400,225.260000,633.612400,class0
150.330000,130.620000,146.220000,3.101100,1.155600,2.491600,213.870000,180.353100,class0
147.900000,130.690000,147.810000,8.250000,0.613900,5.473900,240.380000,573.535600,class0
145.270000,130.170000,149.810000,0.817100,0.641100,0.493900,285.180000,1073.607600,class0
144.760000,130.030000,150.270000,0.222400,0.329100,0.197100,320.360000,380.310400,class0
144.280000,130.610000,150.680000,0.201600,0.237900,0.217600,318.910000,138.561900,class0
144.020000,131.060000,150.750000,0.019600,0.196400,0.187500,307.580000,0.683600,class0
144.020000,131.600000,150.820000,0.019600,0.240000,0.147600,308.280000,0.901600,class0
144.160000,131.970000,150.720000,0.134400,0.029100,0.201600,308.780000,0.571600,class0
144.200000,132.000000,150.600000,0.160000,0.000000,0.240000,308.420000,1.123600,class0
143.420000,132.000000,150.860000,0.583600,0.000000,0.120400,309.580000,2.883600,class0
142.880000,132.000000,151.000000,0.125600,0.000000,0.000000,310.990000,0.009900,class0
143.140000,132.000000,151.000000,0.120400,0.000000,0.000000,311.030000,0.029100,class0
143.200000,132.000000,151.000000,0.160000,0.000000,0.000000,310.750000,0.307500,class0
143.110000,132.000000,151.000000,0.097900,0.000000,0.000000,310.750000,0.367500,class0
143.050000,132.240000,151.000000,0.047500,0.182400,0.000000,311.360000,0.290400,class0
142.890000,132.620000,151.000000,0.097900,0.235600,0.000000,311.850000,0.167500,class0
142.770000,132.670000,151.060000,0.177100,0.221100,0.056400,308.520000,64.009600,class0
142.750000,132.310000,151.090000,0.187500,0.213900,0.081900,308.470000,65.109100,class0
142.730000,132.020000,151.160000,0.197100,0.019600,0.134400,312.470000,1.749100,class0
142.670000,131.950000,151.320000,0.221100,0.047500,0.217600,312.610000,0.377900,class0
142.320000,131.710000,151.380000,0.357600,0.205900,0.295600,309.290000,66.285900,class0
142.010000,131.450000,151.410000,0.369900,0.247500,0.301900,279.670000,1226.901100,class0
