@RELATION capsense
@ATTRIBUTE mean_accel_1 NUMERIC
@ATTRIBUTE mean_accel_2 NUMERIC
@ATTRIBUTE mean_accel_3 NUMERIC
@ATTRIBUTE var_accel_1 NUMERIC
@ATTRIBUTE var_accel_2 NUMERIC
@ATTRIBUTE var_accel_3 NUMERIC
@ATTRIBUTE class {class0,class1,class2,class3,class4,class5,class6,class7,class8,class9}

@DATA
129.000000,126.000000,92.000000,0.000000,0.000000,0.000000,class0
129.000000,126.000000,92.000000,0.000000,0.000000,0.000000,class0
128.770000,126.000000,91.890000,0.177100,0.000000,0.097900,class0
128.270000,126.000000,91.890000,0.197100,0.000000,0.097900,class0
128.000000,126.000000,92.000000,0.000000,0.000000,0.000000,class0
128.000000,126.000000,92.000000,0.000000,0.000000,0.000000,class0
128.000000,126.000000,92.000000,0.000000,0.000000,0.000000,class0
128.000000,126.000000,92.000000,0.000000,0.000000,0.000000,class0
128.000000,125.540000,91.890000,0.000000,0.248400,0.097900,class0
128.000000,125.040000,91.890000,0.000000,0.038400,0.097900,class0
127.780000,125.000000,92.000000,0.171600,0.000000,0.000000,class0
127.540000,125.000000,91.790000,0.248400,0.000000,0.165900,class0
124.920000,123.670000,92.090000,9.613600,3.301100,0.761900,class0
121.230000,121.120000,92.910000,4.157100,3.085600,0.601900,class0
120.610000,120.140000,93.100000,0.537900,0.260400,0.210000,class0
121.450000,119.980000,92.880000,0.487500,0.419600,0.165600,class0
122.580000,119.790000,92.780000,1.183600,0.185900,0.171600,class0
123.350000,120.440000,92.620000,0.807500,2.406400,0.375600,class0
123.060000,120.760000,92.560000,0.776400,2.442400,0.386400,class0
124.380000,120.990000,92.260000,3.855600,0.489900,0.332400,class0
132.980000,121.920000,93.440000,74.659600,1.013600,8.526400,class0
140.120000,122.460000,97.190000,34.465600,5.208400,17.873900,class0
126.940000,136.090000,98.780000,230.876400,295.641900,15.931600,class0
112.550000,153.150000,100.860000,72.087500,138.487500,23.760400,class0
114.850000,157.100000,108.550000,115.067500,33.810000,36.487500,class0
115.380000,158.610000,112.540000,152.095600,17.737900,17.208400,class0
114.720000,158.600000,111.930000,82.861600,11.400000,18.285100,class0
115.360000,159.540000,111.550000,16.530400,21.668400,13.787500,class0
116.560000,159.360000,111.700000,13.766400,45.990400,22.630000,class0
115.240000,157.870000,111.240000,20.962400,49.333100,23.442400,class0
114.700000,157.830000,111.700000,16.430000,36.821100,19.610000,class0
115.670000,158.050000,111.260000,22.301100,39.167500,22.232400,class0
115.620000,156.740000,111.280000,33.595600,70.692400,22.241600,class0
110.160000,152.770000,107.790000,142.934400,94.517100,44.185900,class0
104.470000,139.240000,103.770000,84.929100,218.702400,61.817100,class0
107.550000,120.330000,103.800000,32.027500,86.221100,60.600000,class0
103.870000,115.940000,106.100000,39.553100,11.656400,19.190000,class0
98.200000,121.800000,109.780000,12.760000,30.320000,3.351600,class0
95.170000,124.070000,111.800000,15.681100,21.145100,15.360000,class0
100.360000,132.490000,112.020000,74.790400,189.589900,16.699600,class0
107.040000,150.650000,110.430000,41.158400,193.287500,5.505100,class0
110.040000,158.100000,112.440000,33.358400,26.850000,11.106400,class0
116.800000,156.430000,112.420000,23.440000,26.285100,10.523600,class0
118.360000,157.320000,112.200000,26.750400,17.897600,3.340000,class0
117.030000,163.270000,112.520000,302.209100,166.617100,438.549600,class0
105.690000,159.040000,112.420000,1614.033900,253.878400,1380.123600,class0
98.290000,151.680000,115.590000,2108.945900,128.377600,1547.701900,class0
104.820000,140.900000,111.910000,1037.287600,258.390000,643.681900,class0
120.660000,131.340000,98.250000,322.924400,31.664400,72.947500,class0
133.560000,133.760000,91.450000,7.666400,19.482400,14.727500,class1
137.490000,135.060000,94.060000,33.669900,13.776400,20.376400,class1
139.890000,132.860000,94.540000,13.957900,23.220400,13.828400,class1
134.850000,124.030000,93.960000,18.567500,30.909100,27.838400,class1
133.310000,131.940000,94.940000,19.433900,192.976400,32.516400,class1
133.150000,148.400000,97.890000,10.147500,42.260000,15.197900,class1
133.790000,152.860000,99.590000,10.565900,14.060400,12.761900,class1
139.700000,145.860000,99.560000,30.690000,76.240400,38.886400,class1
141.310000,139.630000,98.630000,22.233900,8.893100,31.513100,class1
139.040000,141.930000,96.850000,8.738400,2.065100,1.347500,class1
136.690000,142.720000,96.710000,38.153900,2.481600,4.865900,class1
120.940000,160.430000,111.230000,289.876400,548.425100,276.797100,class1
115.290000,169.840000,118.850000,188.345900,354.874400,114.267500,class1
116.910000,160.460000,112.620000,99.041900,64.488400,12.875600,class1
114.820000,158.810000,112.500000,33.567600,44.193900,13.710000,class1
116.120000,157.580000,111.280000,18.045600,54.563600,20.961600,class1
115.600000,155.770000,112.910000,15.800000,42.297100,19.621900,class1
115.780000,155.690000,113.850000,23.391600,69.433900,23.047500,class1
114.410000,158.020000,112.790000,25.201900,53.599600,31.425900,class1
115.770000,158.390000,112.350000,11.957100,30.377900,20.167500,class1
116.510000,156.530000,112.920000,6.649900,30.709100,8.793600,class1
115.430000,156.900000,114.870000,7.205100,9.330000,5.813100,class0
109.780000,161.720000,108.390000,89.071600,76.901600,168.937900,class0
106.150000,162.060000,109.960000,906.647500,171.256400,953.258400,class0
109.720000,156.210000,122.720000,2108.541600,135.645900,1605.781600,class0
101.680000,143.290000,113.520000,1547.197600,177.125900,1037.589600,class0
104.540000,141.760000,102.860000,371.288400,164.922400,47.280400,class0
123.650000,146.400000,99.290000,56.467500,114.180000,52.225900,class2
128.680000,134.350000,92.370000,10.857600,122.507500,24.313100,class2
128.890000,127.480000,92.200000,6.957900,23.609600,11.240000,class2
129.860000,128.700000,91.730000,6.020400,18.570000,13.677100,class2
