@RELATION capsense
@ATTRIBUTE mean_accel_1 NUMERIC
@ATTRIBUTE mean_accel_2 NUMERIC
@ATTRIBUTE mean_accel_3 NUMERIC
@ATTRIBUTE var_accel_1 NUMERIC
@ATTRIBUTE var_accel_2 NUMERIC
@ATTRIBUTE var_accel_3 NUMERIC
@ATTRIBUTE mean_cap NUMERIC
@ATTRIBUTE var_cap NUMERIC
@ATTRIBUTE class {class0,class1,class2,class3,class4,class5,class6,class7,class8,class9}

@DATA
95.820000,135.620000,123.960000,0.147600,0.235600,0.358400,183.240000,37.542400,class0
96.040000,135.810000,123.930000,0.218400,0.153900,0.225100,184.630000,34.913100,class0
96.020000,136.250000,123.480000,0.239600,0.187500,0.449600,173.830000,181.641100,class0
96.140000,136.590000,122.910000,0.780400,0.661900,0.461900,159.260000,25.672400,class0
98.060000,134.420000,115.800000,13.416400,10.283600,71.940000,163.370000,128.133100,class0
99.840000,131.780000,108.600000,13.254400,7.931600,29.280000,175.960000,170.698400,class0
99.910000,132.360000,107.180000,4.161900,5.690400,10.807600,253.900000,6683.330000,class0
98.630000,132.230000,108.240000,3.333100,3.737100,12.942400,376.460000,4055.048400,class0
98.160000,132.190000,110.500000,1.954400,2.893900,8.290000,409.340000,486.024400,class0
98.890000,132.390000,109.160000,1.837900,5.337900,6.494400,339.870000,4068.413100,class0
99.560000,128.680000,107.050000,2.286400,28.637600,2.847500,286.400000,2789.780000,class0
101.600000,124.910000,104.570000,3.520000,17.541900,6.805100,415.000000,20234.640000,class0
103.020000,123.600000,103.420000,0.539600,0.240000,2.663600,561.890000,1958.897900,class0
103.000000,123.100000,104.000000,0.000000,0.090000,0.000000,576.670000,13.601100,class0
103.000000,123.000000,104.000000,0.000000,0.000000,0.000000,575.000000,0.000000,class0
103.000000,123.000000,104.000000,0.000000,0.000000,0.000000,575.000000,0.000000,class0
102.990000,123.000000,104.000000,0.009900,0.000000,0.000000,574.980000,0.019600,class0
100.870000,122.710000,106.470000,10.193100,1.505900,28.769100,528.630000,3799.553100,class0
107.150000,122.430000,106.030000,154.207500,7.625100,113.189100,498.880000,4209.585600,class0
118.780000,123.820000,97.510000,107.591600,9.087600,115.109900,497.020000,3242.479600,class0
110.050000,125.280000,102.200000,165.647500,1.821600,113.340000,466.000000,787.560000,class0
96.990000,126.190000,113.690000,4.649900,3.393900,7.593900,472.210000,496.245900,class0
95.790000,127.430000,114.580000,2.245900,7.905100,1.463600,484.570000,211.965100,class0
98.730000,121.010000,112.480000,11.977100,54.729900,18.709600,462.860000,1010.260400,class0
101.110000,118.270000,108.290000,2.357900,22.997100,20.805900,451.030000,1553.469100,class0
99.170000,125.590000,107.040000,4.041100,15.061900,6.018400,470.420000,1270.163600,class0
96.880000,126.730000,113.080000,2.365600,9.257100,33.153600,465.230000,663.037100,class0
97.240000,120.250000,122.070000,2.642400,25.487500,22.685100,442.090000,30.261900,class0
99.160000,114.300000,128.280000,1.154400,4.930000,7.161600,455.360000,975.210400,class0
100.390000,111.430000,129.120000,1.317900,2.365100,5.005600,493.870000,1284.113100,class0
101.650000,109.540000,129.210000,6.807500,0.468400,7.625900,521.490000,289.829900,class0
106.290000,109.770000,137.430000,29.645900,7.437100,58.065100,448.900000,6948.270000,class0
116.390000,116.240000,148.320000,51.057900,40.722400,31.037600,347.420000,1416.803600,class0
125.260000,124.980000,153.670000,22.792400,14.079600,10.621100,344.270000,893.377100,class0
130.870000,128.400000,154.320000,15.533100,3.220000,2.537600,389.950000,1119.947500,class0
135.040000,129.090000,153.740000,5.878400,1.981900,1.132400,403.110000,536.277900,class0
139.930000,124.630000,151.370000,16.005100,31.553100,7.333100,385.970000,359.929100,class0
143.030000,118.100000,148.810000,1.129100,10.810000,1.353900,356.290000,732.445900,class0
140.110000,117.170000,149.820000,7.697900,2.761100,2.507600,327.000000,166.780000,class0
136.140000,118.880000,151.860000,3.540400,2.585600,1.880400,320.840000,39.894400,class0
133.860000,120.710000,153.150000,1.280400,1.405900,0.447500,323.150000,43.487500,class0
127.340000,121.360000,152.270000,84.644400,1.050400,15.297100,345.130000,611.933100,class0
112.050000,122.740000,146.290000,147.887500,8.312400,37.985900,417.810000,3280.413900,class0
111.820000,118.370000,145.180000,109.367600,54.873100,17.447600,475.560000,219.426400,class0
124.870000,110.650000,148.560000,38.033100,26.047500,5.986400,403.480000,6245.869600,class0
132.270000,113.400000,150.440000,26.257100,32.560000,8.886400,356.400000,1521.740000,class0
135.450000,120.470000,152.880000,6.607500,10.669100,1.245600,327.280000,4097.461600,class0
