@RELATION capsense
@ATTRIBUTE mean_accel_1 NUMERIC
@ATTRIBUTE mean_accel_2 NUMERIC
@ATTRIBUTE mean_accel_3 NUMERIC
@ATTRIBUTE var_accel_1 NUMERIC
@ATTRIBUTE var_accel_2 NUMERIC
@ATTRIBUTE var_accel_3 NUMERIC
@ATTRIBUTE class {class0,class1,class2,class3,class4,class5,class6,class7,class8,class9}

@DATA
138.340000,117.320000,94.740000,0.664400,0.217600,0.392400,class0
138.200000,117.220000,94.570000,0.680000,0.171600,0.345100,class0
138.020000,116.900000,94.650000,0.859600,0.430000,0.707500,class0
138.080000,116.430000,94.840000,1.293600,0.585100,0.634400,class0
137.600000,115.620000,95.050000,1.980000,0.895600,0.287500,class0
137.620000,114.690000,95.490000,1.515600,0.633900,0.249900,class0
138.150000,114.240000,95.830000,0.467500,0.202400,0.141100,class0
137.820000,114.690000,95.950000,1.827600,2.253900,0.207500,class0
137.910000,114.990000,95.670000,1.781900,2.309900,0.381100,class0
137.810000,115.570000,95.190000,0.913900,1.285100,0.233900,class0
139.550000,117.590000,95.220000,7.767500,2.181900,0.391600,class0
142.370000,119.200000,95.750000,2.753100,0.740000,0.327500,class0
143.000000,119.800000,96.000000,0.000000,0.160000,0.000000,class0
143.000000,119.880000,96.000000,0.000000,0.105600,0.000000,class0
143.000000,119.640000,95.810000,0.000000,0.230400,0.153900,class0
142.430000,119.690000,95.560000,0.505100,0.213900,0.326400,class0
140.600000,119.530000,95.050000,1.880000,0.249100,0.527500,class0
139.170000,119.140000,94.570000,0.141100,0.120400,0.245100,class0
138.980000,119.040000,94.460000,0.019600,0.038400,0.248400,class0
138.890000,118.410000,94.490000,0.277900,0.601900,0.249900,class0
137.900000,117.160000,94.630000,5.650000,1.934400,0.233100,class0
135.820000,115.860000,94.500000,6.827600,2.720400,0.290000,class0
136.410000,115.250000,94.750000,4.421900,1.367500,0.487500,class0
138.770000,115.460000,95.540000,0.917100,0.448400,0.348400,class0
139.500000,116.020000,95.570000,0.370000,0.519600,0.345100,class0
140.620000,116.830000,95.360000,1.855600,0.681100,0.370400,class0
141.820000,117.210000,95.980000,1.227600,0.425900,0.519600,class0
141.850000,117.650000,96.220000,0.947500,0.847500,0.191600,class0
142.150000,118.940000,95.770000,1.227500,1.436400,0.177100,class0
142.180000,120.860000,95.060000,1.307600,1.840400,0.576400,class0
140.630000,122.200000,94.290000,1.893100,0.380000,0.285900,class0
139.240000,122.230000,94.010000,0.502400,0.177100,0.009900,class0
139.200000,122.020000,94.000000,0.400000,0.019600,0.000000,class0
139.520000,122.000000,94.000000,0.249600,0.000000,0.000000,class0
139.680000,122.000000,93.930000,0.217600,0.000000,0.065100,class0
139.890000,122.000000,93.930000,0.117900,0.000000,0.065100,class0
140.290000,121.570000,94.380000,0.825900,0.825100,1.255600,class0
140.150000,121.570000,94.210000,1.007500,0.825100,1.525900,class0
139.450000,122.000000,93.670000,0.307500,0.000000,0.221100,class0
139.230000,122.000000,93.840000,0.237100,0.000000,0.134400,class0
139.340000,122.000000,94.000000,0.224400,0.000000,0.000000,class0
139.190000,122.000000,94.000000,0.153900,0.000000,0.000000,class0
139.000000,122.000000,93.960000,0.000000,0.000000,0.138400,class0
