@RELATION capsense
@ATTRIBUTE min_accel_1 NUMERIC
@ATTRIBUTE min_accel_2 NUMERIC
@ATTRIBUTE min_accel_3 NUMERIC
@ATTRIBUTE max_accel_1 NUMERIC
@ATTRIBUTE max_accel_2 NUMERIC
@ATTRIBUTE max_accel_3 NUMERIC
@ATTRIBUTE mean_accel_1 NUMERIC
@ATTRIBUTE mean_accel_2 NUMERIC
@ATTRIBUTE mean_accel_3 NUMERIC
@ATTRIBUTE median_accel_1 NUMERIC
@ATTRIBUTE median_accel_2 NUMERIC
@ATTRIBUTE median_accel_3 NUMERIC
@ATTRIBUTE var_accel_1 NUMERIC
@ATTRIBUTE var_accel_2 NUMERIC
@ATTRIBUTE var_accel_3 NUMERIC
@ATTRIBUTE class {class0,class1,class2,class3,class4,class5,class6,class7,class8,class9}

@DATA
99.000000,117.000000,140.000000,105.000000,135.000000,145.000000,101.280000,127.464000,141.456000,101.000000,128.000000,141.000000,0.809600,4.720704,1.160064,class0
95.000000,112.000000,129.000000,122.000000,141.000000,165.000000,106.656000,126.044000,144.898000,103.000000,127.000000,143.000000,46.789664,14.230064,34.731596,class0
95.000000,112.000000,129.000000,122.000000,141.000000,165.000000,112.634000,124.040000,149.346000,114.000000,124.000000,151.000000,20.652044,15.286400,26.146284,class0
101.000000,115.000000,139.000000,117.000000,131.000000,154.000000,110.760000,124.336000,148.896000,111.000000,125.000000,149.000000,13.446400,10.775104,8.525184,class0
101.000000,94.000000,125.000000,144.000000,131.000000,153.000000,113.024000,117.870000,145.462000,113.000000,120.000000,147.500000,66.279424,94.761100,36.904556,class0
108.000000,88.000000,125.000000,158.000000,129.000000,157.000000,119.736000,112.830000,145.586000,115.000000,116.000000,149.000000,130.038304,77.485100,51.162604,class0
97.000000,88.000000,113.000000,158.000000,131.000000,160.000000,126.534000,112.720000,145.114000,119.000000,115.000000,147.000000,214.564844,91.441600,45.821004,class0
97.000000,89.000000,113.000000,155.000000,131.000000,160.000000,132.146000,107.438000,141.022000,134.000000,106.000000,141.000000,195.072684,68.982156,36.789516,class0
106.000000,92.000000,127.000000,155.000000,115.000000,152.000000,125.868000,105.452000,141.774000,120.000000,106.000000,143.000000,159.922576,15.435696,20.106924,class0
111.000000,101.000000,136.000000,136.000000,115.000000,152.000000,116.692000,108.696000,145.292000,115.000000,109.000000,146.000000,24.701136,11.659584,4.994736,class0
113.000000,106.000000,142.000000,116.000000,124.000000,155.000000,114.528000,113.170000,147.840000,115.000000,114.000000,148.000000,0.393216,9.905100,3.510400,class0
113.000000,107.000000,144.000000,116.000000,124.000000,155.000000,114.630000,113.040000,147.890000,115.000000,113.000000,148.000000,0.357100,9.106400,2.869900,class0
92.000000,93.000000,111.000000,139.000000,122.000000,158.000000,116.114000,111.428000,145.670000,115.000000,111.000000,147.000000,45.981004,12.532816,59.373100,class0
92.000000,90.000000,111.000000,144.000000,123.000000,164.000000,117.884000,111.718000,145.076000,117.000000,112.000000,148.000000,109.066544,23.214476,71.630224,class0
95.000000,89.000000,107.000000,168.000000,123.000000,164.000000,132.374000,109.562000,138.466000,137.000000,111.000000,143.000000,296.390124,42.226156,166.416844,class0
94.000000,89.000000,105.000000,168.000000,131.000000,157.000000,137.446000,111.466000,130.684000,144.500000,112.000000,131.000000,434.639084,79.120844,160.416144,class0
94.000000,91.000000,105.000000,158.000000,133.000000,148.000000,112.796000,121.738000,131.050000,98.000000,127.000000,133.000000,566.318384,82.561356,69.387500,class0
95.000000,54.000000,108.000000,127.000000,133.000000,139.000000,100.474000,123.386000,130.940000,97.000000,128.000000,134.000000,61.609324,171.753004,50.176400,class0
97.000000,54.000000,108.000000,127.000000,130.000000,139.000000,111.116000,107.520000,123.928000,118.000000,97.000000,118.000000,103.114544,268.229600,69.422816,class0
116.000000,90.000000,116.000000,120.000000,102.000000,120.000000,118.824000,96.484000,117.914000,119.000000,97.000000,118.000000,0.801024,1.293744,0.354604,class0
118.000000,77.000000,114.000000,169.000000,118.000000,140.000000,124.544000,95.924000,119.446000,120.000000,96.000000,118.000000,96.420064,15.838224,16.763084,class0
119.000000,77.000000,114.000000,169.000000,140.000000,140.000000,141.600000,107.390000,123.828000,140.000000,98.000000,123.000000,255.556000,298.801900,39.158416,class0
116.000000,68.000000,97.000000,165.000000,140.000000,142.000000,138.654000,109.002000,125.414000,134.000000,104.000000,126.000000,287.014284,277.085996,106.114604,class0
112.000000,68.000000,97.000000,137.000000,118.000000,142.000000,120.028000,97.898000,123.470000,117.000000,97.000000,123.000000,37.603216,30.375596,89.029100,class0
112.000000,78.000000,115.000000,139.000000,113.000000,145.000000,120.634000,96.870000,123.502000,118.000000,97.000000,123.000000,36.480044,18.673100,47.645996,class0
112.000000,78.000000,115.000000,157.000000,163.000000,161.000000,127.568000,112.274000,136.554000,128.000000,105.000000,141.000000,45.381376,429.946924,204.823084,class0
113.000000,100.000000,132.000000,163.000000,163.000000,161.000000,130.054000,134.896000,149.442000,131.000000,141.000000,150.000000,74.775084,220.269184,19.970636,class0
113.000000,131.000000,139.000000,163.000000,151.000000,159.000000,130.742000,144.012000,149.816000,131.000000,145.000000,150.000000,51.019436,11.091856,5.030144,class0
127.000000,133.000000,133.000000,137.000000,151.000000,161.000000,131.490000,145.822000,149.406000,132.000000,146.000000,149.000000,2.077900,5.030316,7.081164,class0
125.000000,133.000000,133.000000,137.000000,151.000000,161.000000,130.976000,144.834000,149.930000,131.000000,145.000000,150.000000,5.915424,5.890444,7.325100,class0
102.000000,135.000000,91.000000,136.000000,147.000000,156.000000,125.606000,142.342000,138.978000,128.000000,143.000000,150.000000,60.806764,8.721036,483.649516,class0
102.000000,135.000000,91.000000,135.000000,147.000000,156.000000,124.686000,141.868000,111.496000,126.000000,142.000000,97.000000,59.507404,8.618576,611.197984,class0
115.000000,134.000000,93.000000,138.000000,147.000000,100.000000,126.678000,141.680000,95.280000,126.500000,141.000000,95.000000,37.354316,9.985600,2.597600,class0
115.000000,134.000000,93.000000,138.000000,146.000000,100.000000,121.876000,139.454000,94.942000,119.000000,139.000000,95.000000,33.056624,5.639884,1.466636,class0
118.000000,138.000000,94.000000,120.000000,139.000000,95.000000,118.996000,138.900000,94.866000,119.000000,139.000000,95.000000,0.123984,0.090000,0.116044,class0
119.000000,139.000000,94.000000,123.000000,143.000000,96.000000,120.244000,140.514000,95.054000,120.000000,139.000000,95.000000,1.636464,3.229804,0.175084,class0
119.000000,139.000000,94.000000,123.000000,143.000000,96.000000,120.808000,141.668000,95.110000,121.000000,142.000000,95.000000,0.739136,1.173776,0.177900,class0
119.000000,140.000000,94.000000,121.000000,142.000000,96.000000,120.112000,141.108000,95.052000,120.000000,141.000000,95.000000,0.199456,0.188336,0.073296,class0
117.000000,138.000000,93.000000,121.000000,142.000000,98.000000,119.556000,140.552000,94.990000,120.000000,141.000000,95.000000,0.742864,0.467296,0.289900,class0
107.000000,134.000000,93.000000,121.000000,150.000000,116.000000,115.894000,140.890000,97.176000,118.000000,140.000000,95.000000,18.422764,4.401900,12.557024,class0
107.000000,134.000000,86.000000,125.000000,150.000000,116.000000,116.792000,141.642000,97.600000,119.000000,142.000000,96.000000,25.468736,4.437836,13.260000,class0
115.000000,134.000000,86.000000,129.000000,146.000000,105.000000,123.334000,142.524000,95.594000,123.000000,143.000000,95.000000,8.510444,1.817424,2.893164,class0
120.000000,141.000000,93.000000,129.000000,148.000000,97.000000,126.592000,143.572000,95.282000,127.000000,144.000000,95.000000,2.873536,0.852816,0.322476,class0
124.000000,140.000000,93.000000,130.000000,148.000000,97.000000,127.476000,143.782000,95.346000,128.000000,144.000000,95.000000,1.337424,1.130476,0.374284,class0
124.000000,140.000000,93.000000,130.000000,146.000000,97.000000,126.354000,143.178000,95.204000,126.000000,144.000000,95.000000,2.640684,1.722316,0.674384,class0
122.000000,140.000000,93.000000,128.000000,144.000000,96.000000,125.146000,142.700000,95.026000,125.000000,143.000000,95.000000,2.296684,1.198000,0.501324,class0
122.000000,140.000000,94.000000,128.000000,144.000000,96.000000,124.974000,142.008000,94.766000,125.000000,142.000000,95.000000,2.353324,1.239936,0.411244,class0
124.000000,140.000000,94.000000,127.000000,142.000000,95.000000,124.930000,141.102000,94.236000,125.000000,141.000000,94.000000,0.341100,0.139596,0.180304,class0
121.000000,139.000000,94.000000,125.000000,141.000000,95.000000,124.576000,140.860000,94.206000,125.000000,141.000000,94.000000,1.128224,0.160400,0.163564,class0
118.000000,108.000000,78.000000,146.000000,153.000000,111.000000,127.768000,131.282000,95.126000,125.000000,140.000000,94.000000,40.242176,196.494476,24.242124,class0
98.000000,102.000000,78.000000,146.000000,195.000000,118.000000,126.940000,128.292000,99.058000,129.000000,116.000000,98.000000,143.496400,549.770736,80.962636,class0
98.000000,102.000000,79.000000,143.000000,195.000000,128.000000,116.698000,150.280000,109.096000,113.000000,157.000000,109.000000,162.710796,691.525600,128.898784,class0
100.000000,149.000000,102.000000,127.000000,188.000000,128.000000,113.168000,162.492000,115.816000,114.000000,159.000000,115.000000,48.639776,75.313936,48.658144,class0
105.000000,149.000000,104.000000,126.000000,175.000000,126.000000,114.116000,158.862000,114.984000,115.000000,158.000000,114.000000,18.954544,19.690956,26.695744,class0
104.000000,153.000000,105.000000,121.000000,167.000000,122.000000,113.548000,157.414000,113.698000,113.500000,157.000000,114.000000,8.723696,6.138604,14.558796,class0
26.000000,61.000000,43.000000,212.000000,188.000000,162.000000,112.432000,143.836000,109.340000,114.000000,156.000000,112.000000,763.393376,618.921104,357.728400,class0
26.000000,61.000000,43.000000,212.000000,188.000000,162.000000,114.146000,138.882000,101.258000,119.000000,146.000000,98.000000,825.872684,533.152076,382.491436,class0
91.000000,106.000000,77.000000,143.000000,183.000000,117.000000,118.284000,146.164000,98.812000,121.000000,146.000000,97.000000,100.751344,144.865104,74.896656,class1
74.000000,106.000000,77.000000,143.000000,188.000000,129.000000,113.522000,155.014000,106.716000,112.000000,155.000000,108.000000,135.993516,294.581804,149.927344,class1
74.000000,114.000000,86.000000,133.000000,188.000000,129.000000,110.484000,152.834000,108.352000,111.000000,154.000000,107.000000,114.009744,299.218444,108.016096,class1
130.000000,130.000000,91.000000,138.000000,153.000000,97.000000,135.250000,135.190000,93.386000,135.000000,134.000000,93.000000,2.319500,15.085900,1.369004,class2
130.000000,133.000000,92.000000,138.000000,153.000000,97.000000,134.154000,137.786000,93.914000,133.000000,138.000000,94.000000,3.550284,12.712204,0.922604,class2
131.000000,136.000000,93.000000,133.000000,143.000000,95.000000,132.370000,138.028000,93.496000,132.000000,138.000000,93.000000,0.425100,1.139216,0.269984,class2
111.000000,104.000000,79.000000,147.000000,138.000000,107.000000,131.856000,132.346000,93.894000,132.000000,137.000000,93.000000,28.999264,92.562284,22.862764,class2
111.000000,104.000000,79.000000,163.000000,137.000000,133.000000,142.978000,125.658000,104.980000,143.000000,127.000000,104.000000,196.033516,96.845036,184.227600,class2
112.000000,110.000000,73.000000,163.000000,139.000000,133.000000,136.598000,127.980000,103.506000,122.000000,131.000000,94.000000,352.628396,45.667600,203.493964,class2
112.000000,126.000000,73.000000,125.000000,139.000000,95.000000,119.128000,131.432000,92.336000,119.000000,131.000000,93.000000,1.735616,2.513376,9.259104,class2
119.000000,131.000000,93.000000,120.000000,131.000000,93.000000,119.506000,131.000000,93.000000,120.000000,131.000000,93.000000,0.249964,0.000000,0.000000,class2
119.000000,131.000000,93.000000,120.000000,132.000000,93.000000,119.846000,131.016000,93.000000,120.000000,131.000000,93.000000,0.130284,0.015744,0.000000,class2
119.000000,131.000000,93.000000,120.000000,132.000000,93.000000,119.868000,131.018000,93.000000,120.000000,131.000000,93.000000,0.114576,0.017676,0.000000,class2
119.000000,131.000000,93.000000,120.000000,132.000000,93.000000,119.658000,131.072000,93.000000,120.000000,131.000000,93.000000,0.225036,0.066816,0.000000,class2
117.000000,129.000000,91.000000,121.000000,133.000000,95.000000,119.140000,130.824000,92.998000,119.000000,131.000000,93.000000,0.672400,0.497024,0.293996,class2
117.000000,129.000000,91.000000,121.000000,133.000000,95.000000,118.978000,129.882000,92.998000,119.000000,130.000000,93.000000,0.629516,0.824076,0.293996,class2
118.000000,129.000000,93.000000,120.000000,130.000000,93.000000,119.132000,129.564000,93.000000,119.000000,130.000000,93.000000,0.214576,0.245904,0.000000,class2
99.000000,97.000000,86.000000,133.000000,130.000000,112.000000,121.212000,120.246000,97.138000,119.000000,130.000000,93.000000,45.415056,168.005484,46.030956,class2
99.000000,97.000000,86.000000,133.000000,130.000000,113.000000,126.208000,104.112000,106.266000,129.000000,98.000000,110.000000,49.280736,117.763456,54.015244,class2
128.000000,97.000000,110.000000,131.000000,98.000000,113.000000,129.034000,97.802000,110.970000,129.000000,98.000000,111.000000,0.284844,0.158796,0.397100,class2
129.000000,98.000000,109.000000,131.000000,99.000000,111.000000,129.114000,98.004000,110.324000,129.000000,98.000000,110.000000,0.173004,0.003984,0.279024,class2
129.000000,97.000000,109.000000,133.000000,99.000000,112.000000,130.396000,97.916000,110.356000,130.000000,98.000000,110.000000,2.247184,0.084944,0.673264,class2
129.000000,97.000000,109.000000,133.000000,99.000000,112.000000,132.112000,97.920000,110.806000,132.000000,98.000000,111.000000,1.135456,0.089600,0.540364,class2
132.000000,97.000000,110.000000,134.000000,99.000000,111.000000,132.984000,98.070000,110.594000,133.000000,98.000000,111.000000,0.343744,0.129100,0.241164,class2
129.000000,97.000000,108.000000,134.000000,99.000000,111.000000,132.784000,98.208000,110.130000,133.000000,98.000000,110.000000,0.889344,0.228736,0.301100,class2
129.000000,98.000000,108.000000,134.000000,99.000000,111.000000,132.514000,98.412000,109.904000,133.000000,98.000000,110.000000,0.641804,0.242256,0.382784,class2
131.000000,97.000000,109.000000,134.000000,99.000000,112.000000,132.638000,98.142000,110.478000,133.000000,98.000000,111.000000,0.390956,0.369836,0.633516,class2
131.000000,97.000000,111.000000,134.000000,98.000000,112.000000,133.002000,97.876000,111.062000,133.000000,98.000000,111.000000,0.653996,0.108624,0.058156,class2
130.000000,97.000000,110.000000,134.000000,98.000000,112.000000,133.124000,97.916000,111.074000,133.000000,98.000000,111.000000,1.236624,0.076944,0.108524,class2
130.000000,97.000000,110.000000,134.000000,98.000000,113.000000,132.104000,97.732000,111.350000,132.000000,98.000000,111.000000,1.517184,0.196176,0.295500,class2
131.000000,97.000000,111.000000,133.000000,98.000000,113.000000,131.958000,97.546000,111.756000,132.000000,98.000000,112.000000,0.508236,0.247884,0.212464,class2
131.000000,97.000000,111.000000,137.000000,99.000000,113.000000,133.598000,97.822000,111.824000,133.000000,98.000000,112.000000,2.752396,0.350316,0.237024,class2
132.000000,97.000000,111.000000,139.000000,99.000000,113.000000,135.372000,98.376000,111.724000,136.000000,98.000000,112.000000,2.353616,0.326624,0.419824,class2
131.000000,97.000000,110.000000,139.000000,99.000000,114.000000,135.324000,98.240000,111.808000,135.000000,98.000000,112.000000,1.707024,0.390400,0.559136,class2
131.000000,96.000000,110.000000,136.000000,99.000000,115.000000,133.964000,97.424000,112.836000,134.000000,97.000000,113.000000,1.462704,0.356224,1.325104,class2
131.000000,96.000000,113.000000,135.000000,97.000000,115.000000,133.902000,96.968000,113.894000,134.000000,97.000000,114.000000,0.892396,0.030976,0.138764,class2
134.000000,97.000000,113.000000,135.000000,97.000000,115.000000,134.724000,97.000000,113.984000,135.000000,97.000000,114.000000,0.199824,0.000000,0.027744,class2
117.000000,97.000000,74.000000,160.000000,162.000000,147.000000,144.470000,144.192000,126.932000,145.000000,152.000000,131.000000,82.609100,283.839136,244.883376,class3
136.000000,107.000000,112.000000,160.000000,158.000000,142.000000,150.904000,142.236000,126.510000,152.000000,149.000000,125.000000,32.950784,235.112304,83.549900,class3
146.000000,110.000000,116.000000,160.000000,151.000000,142.000000,153.020000,144.448000,125.832000,153.000000,149.000000,126.000000,3.927600,126.751296,41.891776,class3
150.000000,147.000000,123.000000,154.000000,151.000000,134.000000,151.728000,149.964000,129.066000,152.000000,150.000000,129.000000,1.102016,0.822704,8.197644,class3
149.000000,149.000000,127.000000,152.000000,151.000000,135.000000,150.540000,150.740000,131.892000,151.000000,151.000000,132.000000,0.340400,0.236400,1.472336,class3
149.000000,149.000000,130.000000,151.000000,152.000000,135.000000,150.358000,150.794000,132.296000,150.000000,151.000000,132.000000,0.349836,0.203564,0.464384,class3
149.000000,115.000000,118.000000,162.000000,156.000000,134.000000,151.276000,148.448000,131.622000,151.000000,151.000000,132.000000,4.275824,66.567296,4.499116,class3
141.000000,112.000000,97.000000,163.000000,156.000000,134.000000,151.084000,131.210000,117.470000,151.000000,119.000000,117.500000,19.648944,287.165900,203.233100,class3
141.000000,112.000000,97.000000,163.000000,121.000000,117.000000,148.240000,116.116000,101.768000,147.000000,116.000000,100.000000,18.930400,1.506544,18.054176,class3
146.000000,116.000000,99.000000,148.000000,117.000000,101.000000,146.968000,116.278000,99.880000,147.000000,116.000000,100.000000,0.610976,0.200716,0.177600,class3
147.000000,116.000000,100.000000,149.000000,117.000000,101.000000,147.828000,116.778000,100.416000,148.000000,117.000000,100.000000,0.250416,0.172716,0.242944,class3
146.000000,116.000000,99.000000,149.000000,117.000000,101.000000,147.934000,116.860000,100.680000,148.000000,117.000000,101.000000,0.257644,0.120400,0.265600,class3
146.000000,116.000000,99.000000,149.000000,117.000000,101.000000,147.896000,116.860000,100.592000,148.000000,117.000000,101.000000,0.181184,0.120400,0.289536,class3
148.000000,117.000000,100.000000,148.000000,117.000000,101.000000,148.000000,117.000000,100.628000,148.000000,117.000000,101.000000,0.000000,0.000000,0.233616,class3
148.000000,117.000000,100.000000,148.000000,117.000000,101.000000,148.000000,117.000000,100.806000,148.000000,117.000000,101.000000,0.000000,0.000000,0.156364,class3
148.000000,117.000000,100.000000,148.000000,117.000000,101.000000,148.000000,117.000000,100.862000,148.000000,117.000000,101.000000,0.000000,0.000000,0.118956,class3
148.000000,117.000000,100.000000,148.000000,117.000000,101.000000,148.000000,117.000000,100.760000,148.000000,117.000000,101.000000,0.000000,0.000000,0.182400,class3
148.000000,117.000000,100.000000,148.000000,117.000000,101.000000,148.000000,117.000000,100.704000,148.000000,117.000000,101.000000,0.000000,0.000000,0.208384,class3
148.000000,117.000000,100.000000,148.000000,117.000000,101.000000,148.000000,117.000000,100.742000,148.000000,117.000000,101.000000,0.000000,0.000000,0.191436,class3
148.000000,117.000000,100.000000,148.000000,117.000000,101.000000,148.000000,117.000000,100.782000,148.000000,117.000000,101.000000,0.000000,0.000000,0.170476,class3
148.000000,117.000000,100.000000,148.000000,117.000000,101.000000,148.000000,117.000000,100.776000,148.000000,117.000000,101.000000,0.000000,0.000000,0.173824,class3
148.000000,117.000000,100.000000,148.000000,117.000000,101.000000,148.000000,117.000000,100.856000,148.000000,117.000000,101.000000,0.000000,0.000000,0.123264,class3
148.000000,117.000000,100.000000,148.000000,117.000000,101.000000,148.000000,117.000000,100.914000,148.000000,117.000000,101.000000,0.000000,0.000000,0.078604,class3
148.000000,117.000000,100.000000,148.000000,117.000000,101.000000,148.000000,117.000000,100.846000,148.000000,117.000000,101.000000,0.000000,0.000000,0.130284,class3
148.000000,117.000000,100.000000,148.000000,117.000000,101.000000,148.000000,117.000000,100.588000,148.000000,117.000000,101.000000,0.000000,0.000000,0.242256,class3
148.000000,117.000000,100.000000,148.000000,117.000000,101.000000,148.000000,117.000000,100.458000,148.000000,117.000000,100.000000,0.000000,0.000000,0.248236,class3
148.000000,117.000000,100.000000,148.000000,117.000000,101.000000,148.000000,117.000000,100.566000,148.000000,117.000000,101.000000,0.000000,0.000000,0.245644,class3
148.000000,117.000000,100.000000,148.000000,117.000000,101.000000,148.000000,117.000000,100.696000,148.000000,117.000000,101.000000,0.000000,0.000000,0.211584,class3
147.000000,117.000000,100.000000,148.000000,117.000000,101.000000,147.984000,117.000000,100.534000,148.000000,117.000000,101.000000,0.015744,0.000000,0.248844,class3
147.000000,116.000000,100.000000,159.000000,120.000000,112.000000,150.676000,117.560000,103.110000,148.000000,117.000000,101.000000,12.527024,1.346400,14.193900,class3
147.000000,113.000000,100.000000,161.000000,130.000000,129.000000,155.556000,118.876000,113.662000,156.000000,118.000000,111.000000,13.066864,21.864624,92.423756,class3
139.000000,108.000000,96.000000,162.000000,130.000000,130.000000,155.104000,120.514000,115.594000,157.000000,117.000000,117.000000,36.025184,47.705804,126.681164,class3
139.000000,108.000000,96.000000,162.000000,130.000000,130.000000,149.778000,119.202000,104.776000,148.000000,117.000000,100.000000,34.724716,31.785196,92.241824,class3
144.000000,116.000000,98.000000,150.000000,119.000000,102.000000,148.054000,117.930000,100.380000,149.000000,118.000000,101.000000,2.427084,1.217100,0.907600,class3
144.000000,116.000000,98.000000,152.000000,121.000000,103.000000,148.938000,118.724000,100.878000,149.000000,119.000000,101.000000,3.894156,1.679824,1.099116,class3
