@RELATION capsense
@ATTRIBUTE min_accel_1 NUMERIC
@ATTRIBUTE min_accel_2 NUMERIC
@ATTRIBUTE min_accel_3 NUMERIC
@ATTRIBUTE min_cap NUMERIC
@ATTRIBUTE max_accel_1 NUMERIC
@ATTRIBUTE max_accel_2 NUMERIC
@ATTRIBUTE max_accel_3 NUMERIC
@ATTRIBUTE max_cap NUMERIC
@ATTRIBUTE mean_accel_1 NUMERIC
@ATTRIBUTE mean_accel_2 NUMERIC
@ATTRIBUTE mean_accel_3 NUMERIC
@ATTRIBUTE mean_cap NUMERIC
@ATTRIBUTE median_accel_1 NUMERIC
@ATTRIBUTE median_accel_2 NUMERIC
@ATTRIBUTE median_accel_3 NUMERIC
@ATTRIBUTE median_cap NUMERIC
@ATTRIBUTE var_accel_1 NUMERIC
@ATTRIBUTE var_accel_2 NUMERIC
@ATTRIBUTE var_accel_3 NUMERIC
@ATTRIBUTE var_cap NUMERIC
@ATTRIBUTE class {class0,class1,class2,class3,class4,class5,class6,class7,class8,class9}

@DATA
99.000000,117.000000,140.000000,21435.000000,105.000000,135.000000,145.000000,45283.000000,101.280000,127.464000,141.456000,31047.384000,101.000000,128.000000,141.000000,28552.500000,0.809600,4.720704,1.160064,58489639.788544,class0
95.000000,112.000000,129.000000,21435.000000,122.000000,141.000000,165.000000,50171.000000,106.656000,126.044000,144.898000,38465.222000,103.000000,127.000000,143.000000,43074.000000,46.789664,14.230064,34.731596,103503650.352716,class0
95.000000,112.000000,129.000000,26919.000000,122.000000,141.000000,165.000000,51299.000000,112.634000,124.040000,149.346000,47727.760000,114.000000,124.000000,151.000000,49812.000000,20.652044,15.286400,26.146284,24857663.546400,class0
101.000000,115.000000,139.000000,46007.000000,117.000000,131.000000,154.000000,51669.000000,110.760000,124.336000,148.896000,50383.024000,111.000000,125.000000,149.000000,51024.500000,13.446400,10.775104,8.525184,2922126.367424,class0
101.000000,94.000000,125.000000,39696.000000,144.000000,131.000000,153.000000,51669.000000,113.024000,117.870000,145.462000,50123.514000,113.000000,120.000000,147.500000,50935.000000,66.279424,94.761100,36.904556,8658845.945804,class0
108.000000,88.000000,125.000000,39696.000000,158.000000,129.000000,157.000000,51328.000000,119.736000,112.830000,145.586000,48495.018000,115.000000,116.000000,149.000000,48982.500000,130.038304,77.485100,51.162604,9288106.601676,class0
97.000000,88.000000,113.000000,40830.000000,158.000000,131.000000,160.000000,49176.000000,126.534000,112.720000,145.114000,48068.016000,119.000000,115.000000,147.000000,48415.500000,214.564844,91.441600,45.821004,2162797.455744,class0
97.000000,89.000000,113.000000,43161.000000,155.000000,131.000000,160.000000,50466.000000,132.146000,107.438000,141.022000,48506.124000,134.000000,106.000000,141.000000,48794.000000,195.072684,68.982156,36.789516,1588354.148624,class0
106.000000,92.000000,127.000000,44051.000000,155.000000,115.000000,152.000000,51542.000000,125.868000,105.452000,141.774000,49735.486000,120.000000,106.000000,143.000000,49792.500000,159.922576,15.435696,20.106924,2060304.449804,class0
111.000000,101.000000,136.000000,48812.000000,136.000000,115.000000,152.000000,52080.000000,116.692000,108.696000,145.292000,51098.678000,115.000000,109.000000,146.000000,51241.000000,24.701136,11.659584,4.994736,615189.946316,class0
113.000000,106.000000,142.000000,42264.000000,116.000000,124.000000,155.000000,52080.000000,114.528000,113.170000,147.840000,50659.566000,115.000000,114.000000,148.000000,51016.000000,0.393216,9.905100,3.510400,1756720.801644,class0
113.000000,107.000000,144.000000,35098.000000,116.000000,124.000000,155.000000,51583.000000,114.630000,113.040000,147.890000,45426.884000,115.000000,113.000000,148.000000,49173.500000,0.357100,9.106400,2.869900,29739524.230544,class0
92.000000,93.000000,111.000000,35098.000000,139.000000,122.000000,158.000000,50316.000000,116.114000,111.428000,145.670000,43970.952000,115.000000,111.000000,147.000000,45859.000000,45.981004,12.532816,59.373100,19424442.325696,class0
92.000000,90.000000,111.000000,14639.000000,144.000000,123.000000,164.000000,50275.000000,117.884000,111.718000,145.076000,43026.188000,117.000000,112.000000,148.000000,46172.000000,109.066544,23.214476,71.630224,70944378.792656,class0
95.000000,89.000000,107.000000,14639.000000,168.000000,123.000000,164.000000,50009.000000,132.374000,109.562000,138.466000,43909.286000,137.000000,111.000000,143.000000,47565.500000,296.390124,42.226156,166.416844,79057317.176204,class0
94.000000,89.000000,105.000000,39430.000000,168.000000,131.000000,157.000000,51993.000000,137.446000,111.466000,130.684000,49366.886000,144.500000,112.000000,131.000000,49477.000000,434.639084,79.120844,160.416144,2904888.157004,class0
