@RELATION capsense
@ATTRIBUTE min_accel_1 NUMERIC
@ATTRIBUTE min_accel_2 NUMERIC
@ATTRIBUTE min_accel_3 NUMERIC
@ATTRIBUTE min_cap NUMERIC
@ATTRIBUTE max_accel_1 NUMERIC
@ATTRIBUTE max_accel_2 NUMERIC
@ATTRIBUTE max_accel_3 NUMERIC
@ATTRIBUTE max_cap NUMERIC
@ATTRIBUTE mean_accel_1 NUMERIC
@ATTRIBUTE mean_accel_2 NUMERIC
@ATTRIBUTE mean_accel_3 NUMERIC
@ATTRIBUTE mean_cap NUMERIC
@ATTRIBUTE median_accel_1 NUMERIC
@ATTRIBUTE median_accel_2 NUMERIC
@ATTRIBUTE median_accel_3 NUMERIC
@ATTRIBUTE median_cap NUMERIC
@ATTRIBUTE var_accel_1 NUMERIC
@ATTRIBUTE var_accel_2 NUMERIC
@ATTRIBUTE var_accel_3 NUMERIC
@ATTRIBUTE var_cap NUMERIC
@ATTRIBUTE class {class0,class1,class2,class3,class4,class5,class6,class7,class8,class9}

@DATA
114.000000,127.000000,90.000000,39346.000000,119.000000,130.000000,98.000000,59591.000000,116.436000,128.800000,93.580000,55086.000000,116.000000,129.000000,94.000000,58302.500000,1.517904,0.480000,1.659600,49004613.912000,class0
114.000000,116.000000,90.000000,39346.000000,119.000000,136.000000,98.000000,64112.000000,116.740000,128.184000,93.442000,56440.788000,117.000000,128.000000,93.000000,57695.000000,1.180400,1.862144,0.986636,34118457.975056,class0
115.000000,116.000000,93.000000,51615.000000,119.000000,136.000000,95.000000,64112.000000,117.702000,127.784000,93.152000,60919.932000,118.000000,128.000000,93.000000,64017.000000,0.877196,1.289344,0.160896,17542647.055376,class0
105.000000,123.000000,90.000000,63987.000000,125.000000,146.000000,101.000000,64724.000000,118.584000,128.394000,93.390000,64210.100000,118.000000,128.000000,93.000000,64061.000000,8.594944,6.546764,3.033900,73147.258000,class0
105.000000,123.000000,90.000000,64017.000000,125.000000,170.000000,124.000000,64724.000000,116.858000,143.182000,105.224000,64512.872000,118.000000,146.000000,101.000000,64650.000000,19.789836,227.720876,145.437824,64393.411616,class0
105.000000,146.000000,101.000000,64562.000000,120.000000,170.000000,125.000000,64724.000000,115.658000,157.998000,118.034000,64657.430000,116.000000,157.000000,118.000000,64657.000000,9.057036,18.705996,16.500844,713.201100,class0
108.000000,148.000000,112.000000,64606.000000,119.000000,166.000000,125.000000,64746.000000,114.560000,157.130000,118.062000,64667.210000,115.000000,157.000000,118.000000,64665.000000,7.310400,12.461100,8.226156,821.585900,class0
103.000000,133.000000,95.000000,64606.000000,124.000000,169.000000,124.000000,64863.000000,115.734000,155.446000,115.040000,64684.128000,116.000000,156.000000,117.000000,64672.000000,17.727244,41.431084,52.746400,2411.171616,class0
103.000000,133.000000,93.000000,64613.000000,124.000000,169.000000,124.000000,64989.000000,114.452000,146.362000,105.714000,64738.720000,116.000000,143.000000,100.000000,64709.000000,34.839696,119.474956,106.532204,8446.281600,class0
103.000000,126.000000,90.000000,64643.000000,121.000000,152.000000,102.000000,64989.000000,112.342000,135.612000,96.656000,64770.124000,114.000000,135.000000,97.000000,64753.000000,26.453036,20.469456,7.601664,7624.420624,class0
10.000000,126.000000,71.000000,64517.000000,234.000000,218.000000,139.000000,64893.000000,115.090000,141.846000,99.538000,64739.388000,116.000000,133.000000,95.000000,64746.000000,1121.589900,406.294284,148.108556,7244.977456,class0
6.000000,119.000000,69.000000,64517.000000,241.000000,221.000000,147.000000,64937.000000,113.738000,151.426000,101.836000,64735.258000,116.000000,136.000000,98.000000,64720.000000,1899.417356,841.128524,236.005104,7892.783436,class0
6.000000,119.000000,69.000000,64598.000000,241.000000,221.000000,147.000000,64937.000000,110.050000,143.846000,99.238000,64804.752000,108.000000,136.000000,99.000000,64827.000000,796.771500,589.846284,111.729356,6222.186496,class0
95.000000,109.000000,83.000000,64716.000000,146.000000,154.000000,104.000000,65011.000000,115.192000,136.106000,97.004000,64847.370000,111.000000,136.000000,98.000000,64841.000000,123.415136,67.526764,22.051984,2980.581100,class1
95.000000,109.000000,83.000000,64716.000000,146.000000,171.000000,135.000000,65011.000000,124.778000,143.934000,100.168000,64823.100000,124.000000,146.000000,99.000000,64812.000000,147.624716,144.661644,109.419776,3586.594000,class1
