@RELATION capsense
@ATTRIBUTE min_accel_1 NUMERIC
@ATTRIBUTE min_accel_2 NUMERIC
@ATTRIBUTE min_accel_3 NUMERIC
@ATTRIBUTE max_accel_1 NUMERIC
@ATTRIBUTE max_accel_2 NUMERIC
@ATTRIBUTE max_accel_3 NUMERIC
@ATTRIBUTE mean_accel_1 NUMERIC
@ATTRIBUTE mean_accel_2 NUMERIC
@ATTRIBUTE mean_accel_3 NUMERIC
@ATTRIBUTE median_accel_1 NUMERIC
@ATTRIBUTE median_accel_2 NUMERIC
@ATTRIBUTE median_accel_3 NUMERIC
@ATTRIBUTE var_accel_1 NUMERIC
@ATTRIBUTE var_accel_2 NUMERIC
@ATTRIBUTE var_accel_3 NUMERIC
@ATTRIBUTE class {class0,class1,class2,class3,class4,class5,class6,class7,class8,class9}

@DATA
144.000000,122.000000,94.000000,157.000000,144.000000,113.000000,152.288000,138.652000,105.940000,154.000000,143.000000,111.000000,9.725056,33.034896,43.832400,class0
144.000000,122.000000,94.000000,159.000000,144.000000,118.000000,155.518000,136.648000,109.432000,155.500000,135.000000,112.000000,15.489676,20.724096,34.697376,class0
118.000000,78.000000,94.000000,173.000000,136.000000,155.000000,151.628000,120.346000,117.718000,159.000000,134.000000,113.000000,117.465616,344.462284,76.806476,class0
118.000000,78.000000,94.000000,173.000000,134.000000,155.000000,141.502000,101.182000,122.754000,138.000000,97.000000,123.000000,78.861996,168.852876,53.633484,class0
135.000000,90.000000,119.000000,151.000000,109.000000,126.000000,138.124000,96.362000,122.972000,138.000000,96.000000,123.000000,3.600624,6.358956,0.443216,class0
129.000000,79.000000,107.000000,150.000000,119.000000,133.000000,138.190000,96.130000,122.894000,138.000000,96.000000,123.000000,8.493900,30.793100,7.978764,class0
129.000000,79.000000,107.000000,154.000000,119.000000,133.000000,138.878000,95.948000,122.750000,138.000000,96.000000,123.000000,14.999116,48.117296,9.395500,class0
133.000000,82.000000,118.000000,154.000000,113.000000,129.000000,138.410000,96.094000,122.454000,138.000000,96.000000,122.000000,7.541900,19.353164,1.767884,class0
120.000000,86.000000,81.000000,179.000000,133.000000,140.000000,142.436000,103.106000,120.306000,138.000000,97.000000,122.000000,81.233904,153.418764,82.296364,class0
108.000000,86.000000,81.000000,179.000000,163.000000,157.000000,137.648000,127.486000,122.794000,137.000000,131.000000,123.000000,188.640096,459.793804,367.947564,class0
108.000000,119.000000,86.000000,147.000000,163.000000,157.000000,130.616000,140.880000,140.134000,133.000000,140.000000,152.000000,46.100544,74.557600,437.024044,class0
129.000000,127.000000,151.000000,138.000000,142.000000,156.000000,133.360000,134.540000,153.370000,133.000000,134.000000,153.000000,2.418400,14.240400,1.157100,class0
129.000000,127.000000,151.000000,142.000000,138.000000,156.000000,136.846000,133.530000,152.648000,137.000000,134.000000,153.000000,13.182284,5.765100,2.128096,class0
128.000000,131.000000,151.000000,142.000000,138.000000,154.000000,138.146000,135.040000,152.080000,139.000000,135.000000,152.000000,13.608684,2.486400,0.929600,class0
128.000000,132.000000,147.000000,145.000000,141.000000,157.000000,135.802000,135.854000,152.552000,137.000000,136.000000,153.000000,17.518796,2.352684,1.451296,class0
128.000000,128.000000,137.000000,162.000000,141.000000,157.000000,143.092000,133.900000,148.502000,143.000000,134.000000,150.000000,77.219536,8.306000,24.929996,class0
137.000000,121.000000,118.000000,175.000000,167.000000,150.000000,151.134000,134.502000,141.248000,151.000000,132.000000,144.000000,34.480044,84.061996,60.234496,class0
123.000000,121.000000,117.000000,175.000000,173.000000,150.000000,143.590000,149.082000,132.152000,142.000000,155.000000,130.000000,96.617900,219.291276,88.256896,class0
123.000000,145.000000,116.000000,150.000000,178.000000,137.000000,136.240000,162.388000,126.598000,135.000000,162.000000,126.000000,30.938400,34.913456,27.780396,class0
126.000000,152.000000,116.000000,150.000000,180.000000,137.000000,136.644000,162.204000,126.642000,136.000000,161.000000,125.500000,29.317264,33.502384,24.265836,class0
129.000000,152.000000,122.000000,149.000000,180.000000,136.000000,135.902000,159.676000,127.512000,136.000000,159.000000,127.000000,9.224396,14.663024,11.389856,class0
