@RELATION capsense
@ATTRIBUTE min_accel_1 NUMERIC
@ATTRIBUTE min_accel_2 NUMERIC
@ATTRIBUTE min_accel_3 NUMERIC
@ATTRIBUTE min_cap NUMERIC
@ATTRIBUTE max_accel_1 NUMERIC
@ATTRIBUTE max_accel_2 NUMERIC
@ATTRIBUTE max_accel_3 NUMERIC
@ATTRIBUTE max_cap NUMERIC
@ATTRIBUTE mean_accel_1 NUMERIC
@ATTRIBUTE mean_accel_2 NUMERIC
@ATTRIBUTE mean_accel_3 NUMERIC
@ATTRIBUTE mean_cap NUMERIC
@ATTRIBUTE median_accel_1 NUMERIC
@ATTRIBUTE median_accel_2 NUMERIC
@ATTRIBUTE median_accel_3 NUMERIC
@ATTRIBUTE median_cap NUMERIC
@ATTRIBUTE var_accel_1 NUMERIC
@ATTRIBUTE var_accel_2 NUMERIC
@ATTRIBUTE var_accel_3 NUMERIC
@ATTRIBUTE var_cap NUMERIC
@ATTRIBUTE class {class0,class1,class2,class3,class4,class5,class6,class7,class8,class9}

@DATA
144.000000,122.000000,94.000000,62333.000000,157.000000,144.000000,113.000000,64060.000000,152.288000,138.652000,105.940000,62590.236000,154.000000,143.000000,111.000000,62504.000000,9.725056,33.034896,43.832400,84908.972304,class0
144.000000,122.000000,94.000000,62333.000000,159.000000,144.000000,118.000000,64345.000000,155.518000,136.648000,109.432000,63444.784000,155.500000,135.000000,112.000000,64086.500000,15.489676,20.724096,34.697376,772991.077344,class0
118.000000,78.000000,94.000000,59038.000000,173.000000,136.000000,155.000000,64471.000000,151.628000,120.346000,117.718000,62839.476000,159.000000,134.000000,113.000000,64285.000000,117.465616,344.462284,76.806476,3425370.605424,class0
118.000000,78.000000,94.000000,59038.000000,173.000000,134.000000,155.000000,64558.000000,141.502000,101.182000,122.754000,62766.946000,138.000000,97.000000,123.000000,63866.000000,78.861996,168.852876,53.633484,3436100.315084,class0
135.000000,90.000000,119.000000,60201.000000,151.000000,109.000000,126.000000,65204.000000,138.124000,96.362000,122.972000,62976.950000,138.000000,96.000000,123.000000,63861.000000,3.600624,6.358956,0.443216,2996666.575500,class0
129.000000,79.000000,107.000000,60201.000000,150.000000,119.000000,133.000000,65483.000000,138.190000,96.130000,122.894000,63567.226000,138.000000,96.000000,123.000000,65184.000000,8.493900,30.793100,7.978764,4519464.698924,class0
129.000000,79.000000,107.000000,60598.000000,154.000000,119.000000,133.000000,65498.000000,138.878000,95.948000,122.750000,64971.128000,138.000000,96.000000,123.000000,65283.500000,14.999116,48.117296,9.395500,452786.371616,class0
133.000000,82.000000,118.000000,57832.000000,154.000000,113.000000,129.000000,65498.000000,138.410000,96.094000,122.454000,61837.634000,138.000000,96.000000,122.000000,61171.500000,7.541900,19.353164,1.767884,8359247.724044,class0
120.000000,86.000000,81.000000,57467.000000,179.000000,133.000000,140.000000,62038.000000,142.436000,103.106000,120.306000,59397.550000,138.000000,97.000000,122.000000,59075.000000,81.233904,153.418764,82.296364,1591591.411500,class0
108.000000,86.000000,81.000000,37027.000000,179.000000,163.000000,157.000000,62038.000000,137.648000,127.486000,122.794000,57639.418000,137.000000,131.000000,123.000000,58637.000000,188.640096,459.793804,367.947564,12927462.583276,class0
108.000000,119.000000,86.000000,30600.000000,147.000000,163.000000,157.000000,60060.000000,130.616000,140.880000,140.134000,49809.626000,133.000000,140.000000,152.000000,54615.500000,46.100544,74.557600,437.024044,135701330.642124,class0
129.000000,127.000000,151.000000,30600.000000,138.000000,142.000000,156.000000,60433.000000,133.360000,134.540000,153.370000,50526.358000,133.000000,134.000000,153.000000,58151.500000,2.418400,14.240400,1.157100,145718452.725836,class0
129.000000,127.000000,151.000000,45662.000000,142.000000,138.000000,156.000000,60433.000000,136.846000,133.530000,152.648000,54255.124000,137.000000,134.000000,153.000000,52872.500000,13.182284,5.765100,2.128096,17397208.536624,class0
128.000000,131.000000,151.000000,48822.000000,142.000000,138.000000,154.000000,61149.000000,138.146000,135.040000,152.080000,52662.036000,139.000000,135.000000,152.000000,52166.000000,13.608684,2.486400,0.929600,10544705.034704,class0
128.000000,132.000000,147.000000,48981.000000,145.000000,141.000000,157.000000,63022.000000,135.802000,135.854000,152.552000,57926.684000,137.000000,136.000000,153.000000,60874.500000,17.518796,2.352684,1.451296,25353238.936144,class0
