@RELATION capsense
@ATTRIBUTE min_accel_1 NUMERIC
@ATTRIBUTE min_accel_2 NUMERIC
@ATTRIBUTE min_accel_3 NUMERIC
@ATTRIBUTE max_accel_1 NUMERIC
@ATTRIBUTE max_accel_2 NUMERIC
@ATTRIBUTE max_accel_3 NUMERIC
@ATTRIBUTE mean_accel_1 NUMERIC
@ATTRIBUTE mean_accel_2 NUMERIC
@ATTRIBUTE mean_accel_3 NUMERIC
@ATTRIBUTE median_accel_1 NUMERIC
@ATTRIBUTE median_accel_2 NUMERIC
@ATTRIBUTE median_accel_3 NUMERIC
@ATTRIBUTE var_accel_1 NUMERIC
@ATTRIBUTE var_accel_2 NUMERIC
@ATTRIBUTE var_accel_3 NUMERIC
@ATTRIBUTE class {class0,class1,class2,class3,class4,class5,class6,class7,class8,class9}

@DATA
93.000000,128.000000,101.000000,107.000000,138.000000,125.000000,96.796000,135.392000,120.504000,96.000000,136.000000,123.000000,6.562384,4.918336,43.809984,class0
93.000000,117.000000,101.000000,107.000000,138.000000,125.000000,97.908000,133.760000,114.568000,97.000000,135.000000,112.000000,6.251536,7.634400,62.309376,class0
96.000000,114.000000,98.000000,106.000000,136.000000,115.000000,100.730000,127.966000,106.430000,101.000000,129.000000,105.000000,5.597100,23.768844,11.417100,class0
94.000000,114.000000,83.000000,129.000000,134.000000,119.000000,105.450000,123.508000,103.310000,103.000000,123.000000,104.000000,69.359500,6.269936,39.369900,class0
93.000000,112.000000,83.000000,129.000000,131.000000,121.000000,103.418000,123.282000,107.020000,102.000000,123.000000,106.000000,89.215276,17.494476,68.179600,class0
93.000000,110.000000,101.000000,106.000000,131.000000,132.000000,98.504000,120.894000,116.880000,98.000000,123.000000,115.000000,6.513984,48.226764,72.625600,class0
95.000000,106.000000,105.000000,135.000000,131.000000,159.000000,108.990000,119.042000,134.642000,102.000000,119.000000,131.000000,181.513900,65.180236,238.145836,class0
95.000000,106.000000,126.000000,145.000000,132.000000,159.000000,129.152000,120.164000,149.102000,134.000000,119.500000,152.000000,175.380896,50.741104,51.871596,class0
100.000000,102.000000,138.000000,145.000000,132.000000,158.000000,130.164000,119.180000,149.838000,134.000000,120.000000,150.000000,155.001104,38.319600,16.359756,class0
100.000000,102.000000,138.000000,151.000000,133.000000,158.000000,130.662000,122.500000,149.972000,133.000000,122.000000,152.000000,173.599756,64.998000,17.479216,class0
128.000000,95.000000,116.000000,171.000000,134.000000,157.000000,142.582000,121.860000,146.890000,143.000000,123.000000,149.000000,57.123276,117.492400,67.709900,class0
126.000000,95.000000,116.000000,171.000000,134.000000,157.000000,139.196000,122.974000,148.270000,136.000000,128.000000,153.000000,80.117584,113.757324,78.997100,class0
