@RELATION capsense
@ATTRIBUTE min_accel_1 NUMERIC
@ATTRIBUTE min_accel_2 NUMERIC
@ATTRIBUTE min_accel_3 NUMERIC
@ATTRIBUTE min_cap NUMERIC
@ATTRIBUTE max_accel_1 NUMERIC
@ATTRIBUTE max_accel_2 NUMERIC
@ATTRIBUTE max_accel_3 NUMERIC
@ATTRIBUTE max_cap NUMERIC
@ATTRIBUTE mean_accel_1 NUMERIC
@ATTRIBUTE mean_accel_2 NUMERIC
@ATTRIBUTE mean_accel_3 NUMERIC
@ATTRIBUTE mean_cap NUMERIC
@ATTRIBUTE median_accel_1 NUMERIC
@ATTRIBUTE median_accel_2 NUMERIC
@ATTRIBUTE median_accel_3 NUMERIC
@ATTRIBUTE median_cap NUMERIC
@ATTRIBUTE var_accel_1 NUMERIC
@ATTRIBUTE var_accel_2 NUMERIC
@ATTRIBUTE var_accel_3 NUMERIC
@ATTRIBUTE var_cap NUMERIC
@ATTRIBUTE class {class0,class1,class2,class3,class4,class5,class6,class7,class8,class9}

@DATA
93.000000,128.000000,101.000000,4782.000000,107.000000,138.000000,125.000000,6109.000000,96.796000,135.392000,120.504000,5304.964000,96.000000,136.000000,123.000000,5228.500000,6.562384,4.918336,43.809984,178831.234704,class0
93.000000,117.000000,101.000000,4782.000000,107.000000,138.000000,125.000000,13312.000000,97.908000,133.760000,114.568000,7641.084000,97.000000,135.000000,112.000000,5862.500000,6.251536,7.634400,62.309376,9591197.300944,class0
96.000000,114.000000,98.000000,5239.000000,106.000000,136.000000,115.000000,18119.000000,100.730000,127.966000,106.430000,12885.380000,101.000000,129.000000,105.000000,12927.500000,5.597100,23.768844,11.417100,19310146.923600,class0
94.000000,114.000000,83.000000,6644.000000,129.000000,134.000000,119.000000,18346.000000,105.450000,123.508000,103.310000,16004.150000,103.000000,123.000000,104.000000,17741.000000,69.359500,6.269936,39.369900,8574734.631500,class0
93.000000,112.000000,83.000000,12144.000000,129.000000,131.000000,121.000000,18346.000000,103.418000,123.282000,107.020000,15286.502000,102.000000,123.000000,106.000000,14996.000000,89.215276,17.494476,68.179600,3042985.157996,class0
93.000000,110.000000,101.000000,12144.000000,106.000000,131.000000,132.000000,16529.000000,98.504000,120.894000,116.880000,14462.242000,98.000000,123.000000,115.000000,14397.000000,6.513984,48.226764,72.625600,1042599.095436,class0
95.000000,106.000000,105.000000,9629.000000,135.000000,131.000000,159.000000,16851.000000,108.990000,119.042000,134.642000,13462.954000,102.000000,119.000000,131.000000,13665.000000,181.513900,65.180236,238.145836,4371074.643884,class0
95.000000,106.000000,126.000000,9519.000000,145.000000,132.000000,159.000000,16851.000000,129.152000,120.164000,149.102000,11574.064000,134.000000,119.500000,152.000000,11184.000000,175.380896,50.741104,51.871596,3735290.971904,class0
100.000000,102.000000,138.000000,9166.000000,145.000000,132.000000,158.000000,15098.000000,130.164000,119.180000,149.838000,11474.976000,134.000000,120.000000,150.000000,10837.000000,155.001104,38.319600,16.359756,3389409.791424,class0
100.000000,102.000000,138.000000,6293.000000,151.000000,133.000000,158.000000,15098.000000,130.662000,122.500000,149.972000,10187.888000,133.000000,122.000000,152.000000,10071.500000,173.599756,64.998000,17.479216,8314481.027456,class0
