@RELATION capsense
@ATTRIBUTE min_accel_1 NUMERIC
@ATTRIBUTE min_accel_2 NUMERIC
@ATTRIBUTE min_accel_3 NUMERIC
@ATTRIBUTE max_accel_1 NUMERIC
@ATTRIBUTE max_accel_2 NUMERIC
@ATTRIBUTE max_accel_3 NUMERIC
@ATTRIBUTE mean_accel_1 NUMERIC
@ATTRIBUTE mean_accel_2 NUMERIC
@ATTRIBUTE mean_accel_3 NUMERIC
@ATTRIBUTE median_accel_1 NUMERIC
@ATTRIBUTE median_accel_2 NUMERIC
@ATTRIBUTE median_accel_3 NUMERIC
@ATTRIBUTE var_accel_1 NUMERIC
@ATTRIBUTE var_accel_2 NUMERIC
@ATTRIBUTE var_accel_3 NUMERIC
@ATTRIBUTE class {class0,class1,class2,class3,class4,class5,class6,class7,class8,class9}

@DATA
135.000000,114.000000,94.000000,141.000000,118.000000,98.000000,137.916000,116.472000,94.828000,138.000000,117.000000,95.000000,1.348944,1.081216,0.510416,class0
134.000000,112.000000,94.000000,141.000000,119.000000,98.000000,137.906000,115.720000,95.208000,138.000000,116.000000,95.000000,1.289164,1.965600,0.568736,class0
134.000000,112.000000,94.000000,144.000000,120.000000,97.000000,140.322000,117.252000,95.706000,139.000000,118.000000,96.000000,7.098316,6.316496,0.283564,class0
136.000000,117.000000,94.000000,144.000000,120.000000,96.000000,141.172000,119.264000,95.274000,142.000000,119.000000,95.000000,3.850416,0.618304,0.618924,class0
132.000000,113.000000,93.000000,143.000000,120.000000,96.000000,138.678000,117.400000,94.892000,139.000000,118.000000,95.000000,4.510316,3.584000,0.520336,class0
132.000000,113.000000,93.000000,144.000000,123.000000,97.000000,139.848000,117.332000,95.336000,140.000000,117.000000,95.000000,7.856896,5.001776,0.675104,class0
138.000000,116.000000,93.000000,144.000000,123.000000,97.000000,140.696000,120.474000,94.794000,140.000000,122.000000,94.000000,2.323584,4.593324,1.007564,class0
138.000000,119.000000,93.000000,143.000000,123.000000,98.000000,139.606000,121.960000,93.998000,140.000000,122.000000,94.000000,0.554764,0.246400,0.361996,class0
138.000000,119.000000,92.000000,143.000000,123.000000,98.000000,139.266000,121.944000,93.924000,139.000000,122.000000,94.000000,0.747244,0.228864,0.498224,class0
135.000000,120.000000,88.000000,143.000000,128.000000,96.000000,138.212000,123.316000,93.398000,138.000000,122.000000,94.000000,1.715056,4.284144,1.187596,class0
109.000000,91.000000,83.000000,144.000000,143.000000,116.000000,132.392000,122.680000,95.304000,136.000000,127.000000,93.000000,75.338336,135.345600,41.895584,class0
105.000000,89.000000,77.000000,144.000000,163.000000,126.000000,124.446000,122.700000,99.194000,123.000000,127.000000,97.000000,87.299084,336.422000,90.024364,class0
93.000000,89.000000,77.000000,143.000000,163.000000,139.000000,119.308000,128.536000,103.800000,122.000000,126.000000,101.000000,165.753136,287.028704,193.480000,class0
93.000000,104.000000,80.000000,143.000000,153.000000,139.000000,117.090000,133.482000,100.608000,119.000000,134.000000,95.000000,143.529900,76.097676,177.382336,class0
92.000000,118.000000,84.000000,129.000000,143.000000,128.000000,108.972000,129.324000,101.006000,107.000000,128.000000,100.000000,94.211216,36.847024,80.249964,class0
91.000000,115.000000,98.000000,110.000000,133.000000,149.000000,99.358000,125.260000,118.030000,100.000000,125.000000,117.000000,15.305836,8.956400,203.957100,class0
91.000000,115.000000,90.000000,121.000000,142.000000,149.000000,99.308000,124.662000,118.790000,98.000000,124.000000,115.000000,22.517136,19.831756,178.677900,class0
95.000000,117.000000,89.000000,127.000000,144.000000,119.000000,107.502000,129.264000,102.820000,104.000000,132.000000,102.000000,89.185996,54.962304,72.563600,class0
96.000000,130.000000,89.000000,129.000000,144.000000,112.000000,121.162000,133.518000,94.092000,125.000000,133.000000,92.000000,71.387756,7.561676,18.307536,class0
121.000000,126.000000,88.000000,134.000000,135.000000,94.000000,129.426000,129.844000,91.724000,129.000000,131.000000,92.000000,4.516524,5.511664,0.851824,class0
128.000000,124.000000,88.000000,134.000000,132.000000,94.000000,131.556000,127.416000,91.612000,132.000000,127.000000,92.000000,1.762864,3.534944,0.977456,class0
119.000000,124.000000,88.000000,134.000000,134.000000,95.000000,129.260000,128.302000,91.602000,130.000000,127.000000,92.000000,12.604400,5.158796,1.019596,class0
119.000000,127.000000,88.000000,131.000000,134.000000,95.000000,128.170000,129.758000,91.680000,129.000000,130.000000,92.000000,7.993100,2.267436,0.861600,class0
128.000000,128.000000,90.000000,131.000000,130.000000,93.000000,129.574000,129.262000,91.610000,129.000000,129.000000,92.000000,0.860524,0.349356,0.293900,class0
124.000000,115.000000,81.000000,132.000000,142.000000,108.000000,128.982000,129.364000,91.940000,129.000000,129.000000,92.000000,1.557676,13.279504,16.856400,class0
121.000000,115.000000,81.000000,143.000000,142.000000,108.000000,129.338000,131.166000,91.896000,129.000000,130.000000,92.000000,22.743756,21.410444,25.073184,class0
115.000000,128.000000,83.000000,143.000000,140.000000,99.000000,125.112000,131.664000,92.100000,124.000000,131.000000,92.000000,49.659456,8.655104,9.026000,class0
115.000000,129.000000,91.000000,127.000000,135.000000,95.000000,121.608000,130.686000,92.418000,122.000000,130.000000,92.000000,9.118336,2.659404,0.543276,class0
113.000000,129.000000,91.000000,130.000000,175.000000,115.000000,122.048000,139.946000,97.260000,123.000000,134.000000,93.000000,15.069696,148.775084,63.260400,class0
112.000000,130.000000,91.000000,130.000000,176.000000,125.000000,121.982000,155.288000,108.430000,123.000000,157.000000,112.000000,23.857676,112.181056,83.057100,class0
112.000000,150.000000,108.000000,130.000000,176.000000,125.000000,123.830000,161.006000,114.472000,125.000000,160.000000,114.000000,15.737100,31.213964,16.773216,class0
111.000000,129.000000,90.000000,131.000000,175.000000,121.000000,123.850000,156.632000,110.928000,125.000000,158.000000,113.000000,16.295500,113.984576,68.162816,class0
111.000000,129.000000,90.000000,131.000000,174.000000,121.000000,124.910000,145.202000,100.160000,126.000000,140.000000,94.000000,17.549900,136.545196,101.430400,class0
120.000000,135.000000,90.000000,131.000000,164.000000,118.000000,126.702000,143.646000,97.694000,127.000000,139.000000,94.000000,4.045196,89.444684,74.260364,class0
14.000000,125.000000,86.000000,198.000000,184.000000,146.000000,121.074000,152.106000,107.554000,126.000000,157.000000,107.000000,804.336524,149.538764,171.231084,class0
14.000000,125.000000,86.000000,198.000000,184.000000,146.000000,121.100000,154.570000,109.654000,126.000000,159.000000,113.000000,811.578000,124.825100,139.078284,class0
117.000000,133.000000,87.000000,133.000000,164.000000,116.000000,125.798000,146.870000,100.612000,126.000000,143.000000,96.000000,20.001196,103.677100,79.397456,class1
108.000000,127.000000,87.000000,146.000000,174.000000,124.000000,128.796000,145.846000,99.586000,128.000000,143.000000,97.000000,87.666384,98.598284,53.802604,class1
91.000000,127.000000,90.000000,151.000000,176.000000,128.000000,126.820000,153.204000,107.674000,127.000000,153.000000,107.000000,197.359600,105.594384,80.891724,class1
91.000000,131.000000,88.000000,151.000000,176.000000,128.000000,127.960000,146.368000,103.130000,130.500000,143.000000,99.000000,207.630400,130.720576,114.149100,class1
105.000000,131.000000,88.000000,147.000000,171.000000,120.000000,132.122000,144.290000,98.992000,133.000000,141.000000,98.000000,121.287116,108.161900,52.099936,class1
114.000000,132.000000,89.000000,147.000000,175.000000,123.000000,127.364000,155.472000,108.978000,125.000000,157.000000,112.000000,62.043504,122.029216,82.665516,class1
120.000000,128.000000,91.000000,129.000000,132.000000,93.000000,125.428000,129.872000,91.988000,126.000000,130.000000,92.000000,1.132816,0.251616,0.047856,class2
125.000000,130.000000,92.000000,126.000000,130.000000,92.000000,125.730000,130.000000,92.000000,126.000000,130.000000,92.000000,0.197100,0.000000,0.000000,class2
125.000000,130.000000,92.000000,126.000000,130.000000,92.000000,125.450000,130.000000,92.000000,125.000000,130.000000,92.000000,0.247500,0.000000,0.000000,class2
125.000000,129.000000,92.000000,127.000000,130.000000,92.000000,125.392000,129.920000,92.000000,125.000000,130.000000,92.000000,0.338336,0.073600,0.000000,class2
125.000000,129.000000,92.000000,127.000000,130.000000,92.000000,125.390000,129.564000,92.000000,125.000000,130.000000,92.000000,0.349900,0.245904,0.000000,class2
125.000000,129.000000,92.000000,127.000000,130.000000,92.000000,125.680000,129.262000,92.000000,126.000000,129.000000,92.000000,0.229600,0.193356,0.000000,class2
125.000000,129.000000,92.000000,126.000000,130.000000,92.000000,125.968000,129.154000,92.000000,126.000000,129.000000,92.000000,0.030976,0.130284,0.000000,class2
126.000000,129.000000,92.000000,126.000000,130.000000,92.000000,126.000000,129.036000,92.000000,126.000000,129.000000,92.000000,0.000000,0.034704,0.000000,class2
126.000000,129.000000,91.000000,126.000000,130.000000,92.000000,126.000000,129.014000,91.978000,126.000000,129.000000,92.000000,0.000000,0.013804,0.021516,class2
