@RELATION capsense
@ATTRIBUTE min_accel_1 NUMERIC
@ATTRIBUTE min_accel_2 NUMERIC
@ATTRIBUTE min_accel_3 NUMERIC
@ATTRIBUTE min_cap NUMERIC
@ATTRIBUTE max_accel_1 NUMERIC
@ATTRIBUTE max_accel_2 NUMERIC
@ATTRIBUTE max_accel_3 NUMERIC
@ATTRIBUTE max_cap NUMERIC
@ATTRIBUTE mean_accel_1 NUMERIC
@ATTRIBUTE mean_accel_2 NUMERIC
@ATTRIBUTE mean_accel_3 NUMERIC
@ATTRIBUTE mean_cap NUMERIC
@ATTRIBUTE median_accel_1 NUMERIC
@ATTRIBUTE median_accel_2 NUMERIC
@ATTRIBUTE median_accel_3 NUMERIC
@ATTRIBUTE median_cap NUMERIC
@ATTRIBUTE var_accel_1 NUMERIC
@ATTRIBUTE var_accel_2 NUMERIC
@ATTRIBUTE var_accel_3 NUMERIC
@ATTRIBUTE var_cap NUMERIC
@ATTRIBUTE class {class0,class1,class2,class3,class4,class5,class6,class7,class8,class9}

@DATA
135.000000,114.000000,94.000000,1792.000000,141.000000,118.000000,98.000000,2842.000000,137.916000,116.472000,94.828000,2580.352000,138.000000,117.000000,95.000000,2784.000000,1.348944,1.081216,0.510416,108407.972096,class0
134.000000,112.000000,94.000000,1792.000000,141.000000,119.000000,98.000000,6698.000000,137.906000,115.720000,95.208000,3490.860000,138.000000,116.000000,95.000000,2796.000000,1.289164,1.965600,0.568736,2299867.236400,class0
134.000000,112.000000,94.000000,2724.000000,144.000000,120.000000,97.000000,6698.000000,140.322000,117.252000,95.706000,4727.534000,139.000000,118.000000,96.000000,4807.000000,7.098316,6.316496,0.283564,1614380.368844,class0
136.000000,117.000000,94.000000,4667.000000,144.000000,120.000000,96.000000,6292.000000,141.172000,119.264000,95.274000,4907.240000,142.000000,119.000000,95.000000,4776.500000,3.850416,0.618304,0.618924,115774.890400,class0
132.000000,113.000000,93.000000,4011.000000,143.000000,120.000000,96.000000,5502.000000,138.678000,117.400000,94.892000,4738.590000,139.000000,118.000000,95.000000,4738.000000,4.510316,3.584000,0.520336,163435.277900,class0
132.000000,113.000000,93.000000,3056.000000,144.000000,123.000000,97.000000,45771.000000,139.848000,117.332000,95.336000,5550.378000,140.000000,117.000000,95.000000,4598.000000,7.856896,5.001776,0.675104,29062294.715116,class0
138.000000,116.000000,93.000000,3056.000000,144.000000,123.000000,97.000000,45771.000000,140.696000,120.474000,94.794000,5696.060000,140.000000,122.000000,94.000000,4918.000000,2.323584,4.593324,1.007564,28683809.108400,class0
138.000000,119.000000,93.000000,4780.000000,143.000000,123.000000,98.000000,5093.000000,139.606000,121.960000,93.998000,4909.472000,140.000000,122.000000,94.000000,4846.000000,0.554764,0.246400,0.361996,13068.365216,class0
138.000000,119.000000,92.000000,4774.000000,143.000000,123.000000,98.000000,4873.000000,139.266000,121.944000,93.924000,4829.686000,139.000000,122.000000,94.000000,4827.000000,0.747244,0.228864,0.498224,660.387404,class0
135.000000,120.000000,88.000000,4377.000000,143.000000,128.000000,96.000000,5005.000000,138.212000,123.316000,93.398000,4829.358000,138.000000,122.000000,94.000000,4853.000000,1.715056,4.284144,1.187596,11957.317836,class0
