@RELATION capsense
@ATTRIBUTE min_accel_1 NUMERIC
@ATTRIBUTE min_accel_2 NUMERIC
@ATTRIBUTE min_accel_3 NUMERIC
@ATTRIBUTE min_cap NUMERIC
@ATTRIBUTE max_accel_1 NUMERIC
@ATTRIBUTE max_accel_2 NUMERIC
@ATTRIBUTE max_accel_3 NUMERIC
@ATTRIBUTE max_cap NUMERIC
@ATTRIBUTE mean_accel_1 NUMERIC
@ATTRIBUTE mean_accel_2 NUMERIC
@ATTRIBUTE mean_accel_3 NUMERIC
@ATTRIBUTE mean_cap NUMERIC
@ATTRIBUTE median_accel_1 NUMERIC
@ATTRIBUTE median_accel_2 NUMERIC
@ATTRIBUTE median_accel_3 NUMERIC
@ATTRIBUTE median_cap NUMERIC
@ATTRIBUTE var_accel_1 NUMERIC
@ATTRIBUTE var_accel_2 NUMERIC
@ATTRIBUTE var_accel_3 NUMERIC
@ATTRIBUTE var_cap NUMERIC
@ATTRIBUTE class {class1,class2,class3,class4,class5,class6,class7,class8,class9}

@DATA
128.000000,127.000000,86.000000,58747.000000,140.000000,144.000000,99.000000,59232.000000,133.560000,133.760000,91.450000,59056.240000,133.000000,133.500000,90.000000,59070.000000,7.666400,19.482400,14.727500,17190.842400,class1
128.000000,127.000000,88.000000,58504.000000,147.000000,143.000000,103.000000,59232.000000,137.490000,135.060000,94.060000,58953.650000,136.000000,135.000000,93.000000,59070.000000,33.669900,13.776400,20.376400,75650.447500,class1
134.000000,125.000000,89.000000,58504.000000,147.000000,143.000000,103.000000,59151.000000,139.890000,132.860000,94.540000,58735.380000,139.000000,131.000000,94.000000,58666.000000,13.957900,23.220400,13.828400,42226.635600,class1
124.000000,112.000000,86.000000,58585.000000,140.000000,131.000000,110.000000,59312.000000,134.850000,124.030000,93.960000,58927.050000,136.000000,124.500000,93.000000,58908.000000,18.567500,30.909100,27.838400,56445.267500,class1
124.000000,112.000000,86.000000,58908.000000,140.000000,151.000000,110.000000,59312.000000,133.310000,131.940000,94.940000,59200.240000,133.000000,124.000000,94.000000,59232.000000,19.433900,192.976400,32.516400,7033.962400,class1
127.000000,123.000000,90.000000,59151.000000,140.000000,157.000000,106.000000,59393.000000,133.150000,148.400000,97.890000,59293.730000,133.000000,150.000000,99.000000,59312.000000,10.147500,42.260000,15.197900,3866.417100,class1
130.000000,140.000000,89.000000,59232.000000,145.000000,163.000000,104.000000,59393.000000,133.790000,152.860000,99.590000,59323.430000,133.000000,152.000000,101.000000,59312.000000,10.565900,14.060400,12.761900,1954.385100,class1
130.000000,131.000000,89.000000,58989.000000,150.000000,163.000000,114.000000,59393.000000,139.700000,145.860000,99.560000,59238.820000,139.000000,142.000000,100.000000,59232.000000,30.690000,76.240400,38.886400,10562.527600,class1
134.000000,131.000000,89.000000,58989.000000,150.000000,144.000000,114.000000,59312.000000,141.310000,139.630000,98.630000,59163.110000,141.000000,140.000000,97.000000,59151.000000,22.233900,8.893100,31.513100,4892.397900,class1
134.000000,139.000000,95.000000,59151.000000,147.000000,145.000000,100.000000,59232.000000,139.040000,141.930000,96.850000,59160.720000,138.500000,142.000000,97.000000,59151.000000,8.738400,2.065100,1.347500,692.841600,class1
114.000000,140.000000,93.000000,58827.000000,142.000000,147.000000,104.000000,59232.000000,136.690000,142.720000,96.710000,59148.570000,138.000000,142.500000,97.000000,59151.000000,38.153900,2.481600,4.865900,4914.845100,class1
85.000000,140.000000,93.000000,58585.000000,142.000000,207.000000,140.000000,59232.000000,120.940000,160.430000,111.230000,59054.740000,121.500000,147.000000,104.000000,59151.000000,289.876400,548.425100,276.797100,33183.812400,class1
85.000000,146.000000,104.000000,58585.000000,134.000000,207.000000,140.000000,59151.000000,115.290000,169.840000,118.850000,59038.540000,114.000000,167.000000,116.500000,59070.000000,188.345900,354.874400,114.267500,27309.368400,class1
103.000000,146.000000,105.000000,59070.000000,134.000000,178.000000,120.000000,59151.000000,116.910000,160.460000,112.620000,59096.730000,113.000000,160.500000,113.000000,59070.000000,99.041900,64.488400,12.875600,1450.637100,class1
