@RELATION capsense
@ATTRIBUTE min_accel_1 NUMERIC
@ATTRIBUTE min_accel_2 NUMERIC
@ATTRIBUTE min_accel_3 NUMERIC
@ATTRIBUTE min_cap NUMERIC
@ATTRIBUTE max_accel_1 NUMERIC
@ATTRIBUTE max_accel_2 NUMERIC
@ATTRIBUTE max_accel_3 NUMERIC
@ATTRIBUTE max_cap NUMERIC
@ATTRIBUTE mean_accel_1 NUMERIC
@ATTRIBUTE mean_accel_2 NUMERIC
@ATTRIBUTE mean_accel_3 NUMERIC
@ATTRIBUTE mean_cap NUMERIC
@ATTRIBUTE median_accel_1 NUMERIC
@ATTRIBUTE median_accel_2 NUMERIC
@ATTRIBUTE median_accel_3 NUMERIC
@ATTRIBUTE median_cap NUMERIC
@ATTRIBUTE var_accel_1 NUMERIC
@ATTRIBUTE var_accel_2 NUMERIC
@ATTRIBUTE var_accel_3 NUMERIC
@ATTRIBUTE var_cap NUMERIC
@ATTRIBUTE class {class1,class2,class3,class4,class5,class6,class7,class8,class9}

@DATA
124.000000,159.000000,109.000000,12376.000000,129.000000,164.000000,116.000000,12430.000000,126.510000,159.920000,113.800000,12415.690000,126.000000,160.000000,114.000000,12430.000000,0.889900,1.313600,2.000000,254.493900,class1
117.000000,156.000000,96.000000,12242.000000,127.000000,161.000000,115.000000,12430.000000,123.220000,159.470000,112.710000,12385.350000,124.000000,160.000000,114.000000,12403.000000,12.071600,1.789100,16.945900,2100.827500,class1
117.000000,136.000000,92.000000,12161.000000,132.000000,162.000000,114.000000,12403.000000,124.270000,154.580000,104.700000,12275.420000,124.000000,159.000000,104.000000,12242.000000,30.417100,71.743600,61.050000,8457.363600,class1
117.000000,136.000000,90.000000,12161.000000,132.000000,162.000000,104.000000,15088.000000,129.500000,146.380000,97.390000,12490.130000,131.000000,146.000000,98.000000,12188.000000,13.390000,70.895600,18.617900,523827.893100,class1
119.000000,133.000000,87.000000,12188.000000,132.000000,150.000000,102.000000,17128.000000,127.550000,139.170000,94.150000,14461.430000,130.000000,137.000000,94.000000,14846.000000,21.387500,30.141100,14.567500,3657655.505100,class1
119.000000,133.000000,87.000000,13235.000000,132.000000,141.000000,96.000000,17450.000000,123.570000,136.220000,92.280000,16060.290000,121.000000,136.000000,92.000000,16806.000000,19.525100,4.291600,3.961600,1739079.305900,class1
120.000000,134.000000,90.000000,12269.000000,133.000000,144.000000,97.000000,17450.000000,126.670000,139.210000,93.690000,14293.460000,129.000000,140.000000,94.000000,13289.000000,23.661100,8.705900,3.113900,4240470.188400,class1
118.000000,133.000000,92.000000,12188.000000,133.000000,144.000000,97.000000,13316.000000,126.900000,139.340000,94.120000,12424.870000,129.000000,140.000000,94.000000,12296.000000,23.930000,9.864400,1.665600,97312.633100,class1
118.000000,133.000000,92.000000,12188.000000,133.000000,152.000000,106.000000,12403.000000,123.990000,141.470000,96.720000,12261.830000,123.000000,140.000000,94.000000,12269.000000,13.709900,29.609100,20.801600,3781.661100,class1
111.000000,139.000000,90.000000,12188.000000,129.000000,164.000000,106.000000,12430.000000,123.010000,148.430000,97.670000,12333.690000,123.000000,147.000000,97.000000,12349.000000,21.529900,47.725100,23.301100,6886.933900,class1
108.000000,127.000000,90.000000,12296.000000,130.000000,174.000000,110.000000,12430.000000,120.560000,151.040000,100.440000,12356.780000,121.000000,150.500000,102.000000,12349.000000,53.026400,190.498400,39.586400,1784.331600,class1
108.000000,127.000000,99.000000,12135.000000,146.000000,174.000000,110.000000,12349.000000,129.690000,151.070000,104.450000,12251.260000,129.000000,152.500000,103.500000,12296.000000,156.253900,184.805100,11.207500,5987.192400,class1
126.000000,134.000000,99.000000,12000.000000,146.000000,160.000000,110.000000,12296.000000,140.940000,151.740000,105.020000,12154.030000,143.000000,152.000000,105.000000,12161.000000,27.256400,24.852400,10.659600,3703.389100,class1
137.000000,150.000000,104.000000,11974.000000,146.000000,160.000000,124.000000,12403.000000,140.810000,154.170000,109.410000,12137.220000,140.000000,153.000000,109.000000,12135.000000,7.573900,8.061100,21.781900,17296.091600,class1
136.000000,152.000000,105.000000,11974.000000,151.000000,161.000000,128.000000,12403.000000,141.520000,155.750000,116.910000,12206.330000,139.500000,155.000000,117.500000,12228.500000,22.889600,5.747500,43.301900,23036.561100,class1
117.000000,152.000000,113.000000,12108.000000,151.000000,176.000000,128.000000,12457.000000,134.250000,161.820000,119.840000,12350.260000,136.000000,161.000000,120.000000,12403.000000,127.047500,58.107600,14.294400,11728.112400,class1
106.000000,144.000000,103.000000,12349.000000,138.000000,176.000000,121.000000,12484.000000,119.650000,162.070000,115.590000,12414.880000,118.000000,163.000000,118.000000,12430.000000,57.747500,89.285100,26.601900,1331.445600,class1
91.000000,136.000000,99.000000,12269.000000,120.000000,170.000000,120.000000,12484.000000,109.620000,152.950000,108.270000,12352.370000,112.000000,151.000000,107.000000,12349.000000,64.895600,75.087500,49.337100,3089.453100,class1
