@RELATION capsense
@ATTRIBUTE min_accel_1 NUMERIC
@ATTRIBUTE min_accel_2 NUMERIC
@ATTRIBUTE min_accel_3 NUMERIC
@ATTRIBUTE min_cap NUMERIC
@ATTRIBUTE max_accel_1 NUMERIC
@ATTRIBUTE max_accel_2 NUMERIC
@ATTRIBUTE max_accel_3 NUMERIC
@ATTRIBUTE max_cap NUMERIC
@ATTRIBUTE mean_accel_1 NUMERIC
@ATTRIBUTE mean_accel_2 NUMERIC
@ATTRIBUTE mean_accel_3 NUMERIC
@ATTRIBUTE mean_cap NUMERIC
@ATTRIBUTE median_accel_1 NUMERIC
@ATTRIBUTE median_accel_2 NUMERIC
@ATTRIBUTE median_accel_3 NUMERIC
@ATTRIBUTE median_cap NUMERIC
@ATTRIBUTE var_accel_1 NUMERIC
@ATTRIBUTE var_accel_2 NUMERIC
@ATTRIBUTE var_accel_3 NUMERIC
@ATTRIBUTE var_cap NUMERIC
@ATTRIBUTE class {class1,class2,class3,class4,class5,class6,class7,class8,class9}

@DATA
140.000000,139.000000,139.000000,63531.000000,154.000000,150.000000,147.000000,63664.000000,145.690000,144.490000,144.040000,63615.930000,145.000000,144.500000,144.000000,63626.000000,10.133900,6.929900,3.118400,927.445100,class1
140.000000,141.000000,142.000000,63531.000000,147.000000,150.000000,148.000000,63702.000000,142.690000,146.870000,144.540000,63630.560000,142.000000,148.000000,144.000000,63626.000000,4.433900,6.573100,3.628400,1647.026400,class1
137.000000,142.000000,141.000000,63244.000000,154.000000,150.000000,148.000000,63702.000000,144.370000,146.710000,143.200000,63570.990000,142.000000,148.000000,142.000000,63626.000000,29.313100,5.245900,6.320000,16707.329900,class1
137.000000,142.000000,140.000000,63244.000000,154.000000,148.000000,145.000000,63626.000000,149.320000,143.560000,141.100000,63492.330000,151.000000,143.000000,141.000000,63550.000000,22.077600,3.626400,0.890000,15196.241100,class1
151.000000,142.000000,132.000000,63244.000000,155.000000,143.000000,143.000000,63607.000000,152.250000,142.350000,138.890000,63549.430000,152.000000,142.000000,140.000000,63588.000000,2.007500,0.227500,7.697900,8785.165100,class1
152.000000,142.000000,131.000000,63512.000000,156.000000,144.000000,140.000000,63607.000000,154.480000,142.890000,134.630000,63566.150000,155.000000,143.000000,133.500000,63588.000000,1.969600,0.457900,9.513100,1222.887500,class1
154.000000,142.000000,131.000000,63492.000000,157.000000,147.000000,135.000000,63588.000000,155.620000,143.770000,131.980000,63544.630000,156.000000,143.000000,132.000000,63550.000000,0.595600,1.417100,0.819600,792.773100,class1
149.000000,143.000000,131.000000,63492.000000,157.000000,148.000000,139.000000,63626.000000,153.640000,144.980000,133.750000,63575.030000,154.000000,145.000000,132.000000,63588.000000,6.410400,2.019600,6.787500,1032.629100,class1
147.000000,142.000000,131.000000,63569.000000,155.000000,148.000000,140.000000,63626.000000,150.810000,145.510000,137.320000,63600.540000,150.000000,146.000000,138.000000,63607.000000,3.633900,1.749900,4.877600,210.968400,class1
142.000000,142.000000,137.000000,63569.000000,153.000000,148.000000,146.000000,63626.000000,147.380000,146.100000,141.180000,63601.680000,148.000000,146.000000,140.000000,63607.000000,10.475600,2.110000,7.847600,166.637600,class1
142.000000,135.000000,135.000000,63531.000000,166.000000,148.000000,149.000000,63645.000000,146.880000,144.310000,143.490000,63595.790000,145.000000,146.000000,144.000000,63607.000000,35.105600,11.873900,13.149900,701.025900,class1
135.000000,132.000000,135.000000,63531.000000,166.000000,148.000000,154.000000,63645.000000,146.380000,141.780000,145.230000,63575.840000,144.000000,142.000000,146.000000,63569.000000,60.355600,16.751600,29.077100,1028.994400,class1
135.000000,132.000000,138.000000,63531.000000,163.000000,148.000000,154.000000,63645.000000,144.190000,143.630000,146.300000,63585.530000,144.000000,144.000000,146.000000,63588.000000,36.953900,15.853100,16.650000,1029.969100,class1
136.000000,144.000000,139.000000,63531.000000,154.000000,149.000000,148.000000,63645.000000,141.620000,146.610000,146.140000,63597.310000,140.000000,147.000000,146.000000,63607.000000,21.295600,2.657900,2.640400,703.913900,class1
125.000000,146.000000,143.000000,63531.000000,140.000000,153.000000,148.000000,63607.000000,132.920000,149.500000,145.900000,63580.780000,135.500000,149.000000,146.000000,63588.000000,36.653600,4.150000,1.910000,388.291600,class1
123.000000,148.000000,143.000000,63550.000000,135.000000,153.000000,147.000000,63607.000000,125.890000,151.440000,145.060000,63577.930000,125.000000,152.000000,145.000000,63569.000000,5.897900,1.046400,0.836400,227.105100,class1
123.000000,149.000000,144.000000,63512.000000,128.000000,152.000000,148.000000,63607.000000,125.890000,150.860000,145.780000,63561.970000,126.000000,151.000000,146.000000,63569.000000,2.397900,1.060400,1.271600,676.189100,class1
126.000000,144.000000,144.000000,63244.000000,139.000000,151.000000,150.000000,63588.000000,130.240000,148.410000,147.340000,63476.280000,128.000000,149.000000,147.000000,63512.000000,18.682400,5.461900,1.884400,9871.821600,class1
128.000000,141.000000,144.000000,63225.000000,142.000000,149.000000,152.000000,63626.000000,136.180000,145.910000,148.370000,63430.710000,138.000000,146.000000,148.000000,63444.500000,19.087600,7.341900,4.193100,15857.005900,class1
126.000000,141.000000,134.000000,63225.000000,143.000000,156.000000,152.000000,63626.000000,138.210000,147.000000,146.600000,63494.250000,139.000000,147.500000,146.000000,63531.000000,14.485900,12.760000,11.620000,12788.187500,class1
126.000000,144.000000,129.000000,63473.000000,143.000000,164.000000,148.000000,63626.000000,135.810000,153.470000,139.620000,63554.640000,136.000000,152.000000,140.000000,63550.000000,17.433900,35.089100,33.915600,1418.970400,class1
146.000000,132.000000,140.000000,63283.000000,153.000000,141.000000,151.000000,63550.000000,149.910000,136.530000,145.030000,63422.530000,150.000000,136.000000,145.000000,63425.500000,2.281900,5.669100,7.809100,6529.149100,class2
146.000000,133.000000,140.000000,63283.000000,153.000000,139.000000,151.000000,63531.000000,149.760000,136.990000,144.820000,63355.990000,150.000000,137.000000,145.000000,63340.000000,1.442400,2.689900,4.367600,3032.869900,class2
149.000000,136.000000,143.000000,63283.000000,150.000000,139.000000,146.000000,63397.000000,149.880000,137.940000,144.690000,63351.210000,150.000000,138.000000,145.000000,63359.000000,0.105600,0.596400,0.573900,867.085900,class2
150.000000,138.000000,144.000000,63321.000000,150.000000,139.000000,145.000000,63397.000000,150.000000,138.040000,144.970000,63355.770000,150.000000,138.000000,145.000000,63359.000000,0.000000,0.038400,0.029100,310.857100,class2
150.000000,138.000000,145.000000,63340.000000,150.000000,138.000000,145.000000,63397.000000,150.000000,138.000000,145.000000,63354.820000,150.000000,138.000000,145.000000,63359.000000,0.000000,0.000000,0.000000,307.427600,class2
150.000000,138.000000,145.000000,63340.000000,150.000000,138.000000,145.000000,63397.000000,150.000000,138.000000,145.000000,63362.230000,150.000000,138.000000,145.000000,63359.000000,0.000000,0.000000,0.000000,440.817100,class2
