@RELATION capsense
@ATTRIBUTE mean_accel_1 NUMERIC
@ATTRIBUTE mean_accel_2 NUMERIC
@ATTRIBUTE mean_accel_3 NUMERIC
@ATTRIBUTE var_accel_1 NUMERIC
@ATTRIBUTE var_accel_2 NUMERIC
@ATTRIBUTE var_accel_3 NUMERIC
@ATTRIBUTE class {class0,class1,class2,class3,class4,class5,class6,class7,class8,class9}

@DATA
155.698506,135.180019,139.947432,0.137936,0.014832,0.033028,class0
155.630719,135.196078,139.990196,0.072369,0.014260,0.007757,class0
155.389937,135.501048,139.610063,1.324607,0.590989,0.630400,class0
155.355014,135.104336,139.905149,1.824246,20.802423,1.296181,class0
151.964198,143.581481,137.153086,140.127570,128.477473,45.630345,class0
136.365793,153.322097,133.435705,339.727610,48.515164,43.259603,class0
123.413437,148.404393,126.618863,104.696485,81.184579,112.105894,class0
132.902174,124.969807,111.103865,160.269392,327.441623,221.651826,class0
140.766667,104.634568,104.429630,22.999598,53.936536,66.674768,class0
141.121099,99.136080,113.079900,4.620550,25.782198,37.196686,class0
140.660494,96.859259,117.583951,6.915345,32.798391,5.177295,class0
139.874074,96.608642,118.400000,7.235178,35.243509,6.533999,class0
140.035024,96.675121,119.049517,6.695409,28.171275,7.389327,class0
142.060386,96.298309,118.859903,9.840025,68.067543,7.557419,class0
145.532099,95.956790,121.169136,10.641003,97.591537,17.547851,class0
147.515700,95.793478,126.259662,17.778478,131.355740,42.932649,class0
148.461538,98.148962,126.941392,39.703134,116.401981,61.574305,class0
151.124253,102.019116,130.027479,82.853690,42.609131,71.554926,class0
145.426714,100.846336,134.346336,119.280314,56.135698,80.112002,class0
135.195035,96.656028,131.436170,57.995138,100.098784,128.918954,class0
133.277778,96.684783,130.894928,48.483923,77.624278,80.755763,class0
135.702381,97.968254,132.503968,6.018492,0.527316,1.525642,class0
136.913420,98.054834,132.010101,3.019696,0.268234,0.305127,class0
136.436834,98.033486,132.436834,1.184612,0.182334,0.563213,class0
136.982540,98.338095,132.926984,0.106866,0.059916,0.208583,class0
137.356631,98.528674,133.207885,0.302423,0.060994,0.172631,class0
137.942761,98.767677,133.356902,0.052894,0.011672,0.136948,class0
138.373874,98.819820,133.154655,0.567081,0.125386,0.157895,class0
140.190016,99.363929,132.830918,3.532717,0.514482,0.212639,class0
140.978632,99.603989,133.105413,2.891152,0.924031,0.670482,class0
139.814815,99.732639,134.228009,12.705047,24.577668,14.691194,class0
139.270175,100.286550,134.194152,14.426491,25.983866,22.712889,class0
141.716049,101.595062,133.541975,20.794593,8.546070,10.137003,class0
144.857488,102.787440,133.867150,14.169129,8.521137,3.716793,class0
145.922342,105.630824,138.535245,21.039126,43.267086,39.875187,class0
147.127485,117.797661,144.135673,42.982918,142.070391,137.503593,class0
149.983963,132.978236,126.263459,41.483794,50.800319,501.515000,class0
144.468085,140.365248,101.245863,82.394497,9.460141,57.268518,class0
137.831541,144.188769,98.136201,22.946219,14.359846,21.836589,class0
142.184028,141.956019,124.552083,51.918344,30.482776,594.741638,class0
142.251157,139.430556,149.054398,37.861792,10.435932,56.624040,class0
138.649306,139.712963,151.461806,7.514055,10.667880,4.487675,class0
138.173382,138.937729,152.028083,6.915284,9.670016,4.509079,class0
138.079545,137.881313,153.380051,1.651468,6.376840,2.380508,class0
137.426901,135.559942,153.795322,2.552775,3.875701,2.003639,class0
136.161793,133.729045,152.925926,3.603206,1.591718,0.631099,class0
137.657986,133.458333,154.060764,8.466120,2.025671,2.253549,class0
140.173913,133.887279,153.909823,3.494727,1.340411,2.111574,class0
140.811321,133.920335,152.737945,0.213953,0.078527,0.039931,class0
140.276276,133.813814,152.756757,0.027861,0.042561,0.011549,class0
139.942593,133.705556,152.985185,0.304454,0.099948,0.062133,class0
140.236271,134.753512,152.560664,0.894575,2.998687,0.838331,class0
140.743961,135.178744,152.212560,1.284151,2.252871,0.847280,class0
141.245752,134.932026,152.108497,1.097617,0.389504,0.400052,class0
141.489712,135.895748,151.780521,0.539746,0.777267,0.153387,class0
140.836257,136.704678,151.657895,1.111925,0.592116,0.104943,class0
139.289562,135.973064,152.301347,2.059973,1.482644,0.597822,class0
138.786667,134.631111,153.004444,1.815490,0.260237,0.259491,class0
141.693237,134.154589,152.103865,5.022324,0.010139,0.896243,class0
146.788260,133.224319,149.849057,13.020068,2.042018,4.094537,class0
149.698925,131.494624,147.492832,3.734219,1.987321,3.374872,class0
148.166667,128.822531,148.566358,7.386541,7.848256,9.478407,class0
146.197368,127.900585,148.510234,141.612707,6.875582,19.556931,class0
149.560784,128.752941,143.873203,231.453823,25.841087,27.533261,class0
150.119342,120.674897,142.592593,124.385117,119.309191,12.732716,class0
145.143411,129.395349,147.422481,26.951305,490.808019,24.263128,class0
144.645995,148.543928,145.744186,39.485406,263.519253,104.255939,class0
145.944444,154.788618,134.872629,44.343621,117.706633,131.641250,class0
144.788114,158.297158,126.162791,19.250727,86.509351,84.514945,class0
147.055556,157.333333,126.636856,65.093507,63.129401,74.955052,class0
145.973937,156.392318,127.008230,72.923849,96.667002,37.966907,class0
143.102564,161.152422,125.377493,7.495517,84.500275,33.822459,class0
140.119163,163.695652,124.091787,25.940203,66.082299,25.527944,class0
137.873457,164.430556,125.449074,10.380562,51.363219,33.533103,class0
138.392801,166.541471,127.524257,9.822515,69.423608,20.391246,class0
138.388889,166.117284,125.117284,14.867327,95.766611,7.816341,class0
134.798875,164.568214,125.434599,63.519809,59.651151,2.739218,class0
132.811404,164.024854,126.030702,46.910953,33.701267,11.756576,class0
137.449011,159.808219,128.240487,20.322853,20.696934,30.604257,class0
148.954074,158.148148,125.697778,139.382747,37.759537,53.158345,class0
148.222222,150.753247,133.636364,142.493502,96.536915,196.823793,class0
138.820833,144.988889,146.495833,16.426158,10.746242,35.323314,class0
143.658635,147.345382,144.199465,27.765066,5.267995,18.230882,class0
146.352941,148.213072,142.698039,6.399229,2.437158,3.375841,class0
145.235736,148.259760,143.340841,3.412465,1.386530,1.853993,class0
147.239171,147.269303,141.992467,3.145514,0.734016,1.373718,class0
148.577778,146.646914,141.906173,0.330864,0.718456,1.372590,class0
147.577778,147.376190,146.353968,62.181285,68.438108,28.501805,class0
140.321285,139.488621,149.730924,116.533879,138.834068,28.744993,class0
129.111111,129.328638,153.619718,12.908642,8.350419,11.656671,class0
125.334967,127.929739,154.967320,4.907128,6.745496,1.383475,class0
129.626543,131.780864,148.697531,84.471329,47.787506,41.117100,class0
154.916021,149.835917,135.704134,2961.795188,418.702898,283.310853,class0
157.931442,159.587470,131.262411,5242.556513,816.664177,690.577154,class0
130.430260,161.133570,130.661939,5738.534245,1130.871785,1158.747090,class0
142.084656,160.584656,126.142857,15.154959,8.744390,1.959221,class1
144.000000,159.320106,128.134921,20.421560,1.258779,5.226459,class1
143.387800,155.444444,134.420479,21.278209,33.190617,51.068797,class1
137.913580,149.791887,144.181658,30.429886,25.155513,12.152251,class1
142.973937,145.460905,145.666667,57.546380,20.519479,6.212963,class1
147.097844,142.859038,146.081260,7.267685,3.157719,4.564004,class1
146.534113,144.237817,144.635478,11.522239,0.793844,11.012237,class1
151.338710,144.215054,139.609319,16.348281,0.469893,14.171925,class1
151.319658,144.372650,139.129915,23.277202,1.812666,13.166500,class1
144.426667,143.954074,145.456296,30.614962,5.013044,23.012871,class1
139.325490,138.924183,150.833987,10.810343,106.596182,11.744745,class1
134.304575,136.326797,153.018301,26.382761,112.548605,9.929996,class1
136.845528,142.852304,149.306233,63.050375,59.345543,29.307898,class1
138.625514,150.932785,144.755830,43.590569,8.553296,8.793339,class1
130.770468,153.394737,145.027778,15.486201,1.203422,2.311152,class1
131.983704,150.031111,146.952593,21.066631,16.026880,4.652377,class1
134.242165,151.119658,143.789174,13.366280,39.720625,25.228985,class1
134.268056,159.125000,133.613889,27.601092,42.941202,62.927637,class1
135.841503,162.805556,125.950980,23.459118,22.060208,45.353006,class1
