@RELATION capsense
@ATTRIBUTE mean_accel_1 NUMERIC
@ATTRIBUTE mean_accel_2 NUMERIC
@ATTRIBUTE mean_accel_3 NUMERIC
@ATTRIBUTE var_accel_1 NUMERIC
@ATTRIBUTE var_accel_2 NUMERIC
@ATTRIBUTE var_accel_3 NUMERIC
@ATTRIBUTE mean_cap NUMERIC
@ATTRIBUTE var_cap NUMERIC
@ATTRIBUTE class {class0,class1,class2,class3,class4,class5,class6,class7,class8,class9}

@DATA
155.698506,135.180019,139.947432,0.137936,0.014832,0.033028,3243.922409,0.954391,class0
155.630719,135.196078,139.990196,0.072369,0.014260,0.007757,3242.411765,7.891904,class0
155.389937,135.501048,139.610063,1.324607,0.590989,0.630400,3231.199161,55.207673,class0
155.355014,135.104336,139.905149,1.824246,20.802423,1.296181,3217.708672,97.753586,class0
151.964198,143.581481,137.153086,140.127570,128.477473,45.630345,3233.180247,625.284666,class0
136.365793,153.322097,133.435705,339.727610,48.515164,43.259603,3260.780275,633.995504,class0
123.413437,148.404393,126.618863,104.696485,81.184579,112.105894,3296.540052,2841.552988,class0
132.902174,124.969807,111.103865,160.269392,327.441623,221.651826,3310.919082,2332.715806,class0
140.766667,104.634568,104.429630,22.999598,53.936536,66.674768,3317.996296,1303.681911,class0
141.121099,99.136080,113.079900,4.620550,25.782198,37.196686,3347.576779,666.494073,class0
140.660494,96.859259,117.583951,6.915345,32.798391,5.177295,3366.275309,32.326877,class0
139.874074,96.608642,118.400000,7.235178,35.243509,6.533999,3367.479012,50.273726,class0
140.035024,96.675121,119.049517,6.695409,28.171275,7.389327,3357.919082,75.855679,class0
142.060386,96.298309,118.859903,9.840025,68.067543,7.557419,3330.573671,1553.488611,class0
145.532099,95.956790,121.169136,10.641003,97.591537,17.547851,3282.281481,2920.939437,class0
147.515700,95.793478,126.259662,17.778478,131.355740,42.932649,3207.664251,7493.266851,class0
148.461538,98.148962,126.941392,39.703134,116.401981,61.574305,3100.141636,10267.086712,class0
151.124253,102.019116,130.027479,82.853690,42.609131,71.554926,2967.573477,15145.653057,class0
145.426714,100.846336,134.346336,119.280314,56.135698,80.112002,2736.895981,70974.305007,class0
